idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason
0,52,1,52,last_number,1,223,31.4835,stage1_natural_stop
1,5,1,5,last_number,1,158,21.9947,stage1_natural_stop
2,83,1,83,s2_last_number,2,1321,183.7425,stage2_complete
3,10,1,10,last_number,1,181,25.168,stage1_natural_stop
4,70,1,70,s2_last_number,2,1391,198.056,stage2_complete
5,36,1,36,last_number,1,209,29.6932,stage1_natural_stop
6,48,1,48,last_number,1,165,23.6984,stage1_natural_stop
7,16,1,16,last_number,1,188,26.9051,stage1_natural_stop
8,8,1,8,last_number,1,206,29.5932,stage1_natural_stop
9,48,1,48,last_number,1,130,18.7225,stage1_natural_stop
10,90,1,90,last_number,1,86,12.5498,stage1_natural_stop
11,10,1,10,last_number,1,128,18.4388,stage1_natural_stop
12,2,0,24,s2_last_number,2,2304,327.5826,stage2_complete
13,45000,1,45000,last_number,1,222,31.7857,stage1_natural_stop
14,18,1,18,last_number,1,187,26.6062,stage1_natural_stop
15,140,1,140,last_number,1,104,15.0216,stage1_natural_stop
16,17,1,17,s3_last_number,3,2432,364.3764,stage3_after_iris_entropy
17,68,1,68,last_number,1,227,32.0721,stage1_natural_stop
18,8,1,8,last_number,1,164,23.5195,stage1_natural_stop
19,14,1,14,last_number,1,109,15.6578,stage1_natural_stop
20,50,1,50,s2_last_number,2,1850,263.2375,stage2_complete
21,100,1,100,last_number,1,228,32.4088,stage1_natural_stop
22,125,1,125,last_number,1,234,33.2434,stage1_natural_stop
23,48,1,48,s2_last_number,2,1812,257.8786,stage2_complete
24,15400,1,15400,s3_last_number,3,1962,359.9101,stage3_after_iris_entropy
25,250,1,250,last_number,1,188,26.9853,stage1_natural_stop
26,18,1,18,s3_last_number,3,2560,362.8969,stage3_after_budget_exhausted
27,1490,1,1490,s3_last_number,3,2534,359.928,stage3_after_budget_exhausted
28,11,1,11,last_number,1,128,18.5015,stage1_natural_stop
29,106,0,12,s3_last_number,3,2560,367.4202,stage3_after_budget_exhausted
30,138,1,138,s2_last_number,2,1363,195.8832,stage2_complete
31,15,1,15,last_number,1,187,27.0274,stage1_natural_stop
32,4,1,4,last_number,1,190,27.389,stage1_natural_stop
33,82,1,82,last_number,1,226,32.5516,stage1_natural_stop
34,2,1,2,s3_last_number,3,1472,361.1798,stage3_after_iris_entropy
35,51,1,51,s2_last_number,2,1570,224.219,stage2_complete
36,4,1,4,last_number,1,198,28.4238,stage1_natural_stop
37,100,1,100,last_number,1,182,26.086,stage1_natural_stop
38,25,1,25,s2_last_number,2,1504,214.893,stage2_complete
39,188,1,188,last_number,1,226,32.3252,stage1_natural_stop
40,30,1,30,last_number,1,171,24.5963,stage1_natural_stop
41,30,1,30,last_number,1,129,18.623,stage1_natural_stop
42,150,0,240,last_number,1,107,15.4683,stage1_natural_stop
43,7,1,7,last_number,1,179,25.7259,stage1_natural_stop
44,350,1,350,s2_last_number,2,1772,254.1557,stage2_complete
45,2,0,3,s3_last_number,3,2560,366.2933,stage3_after_budget_exhausted
46,36,1,36,last_number,1,188,26.9792,stage1_natural_stop
47,2,1,2,s3_last_number,3,2306,327.6105,stage3_after_budget_exhausted
48,14,1,14,last_number,1,204,27.3988,stage1_natural_stop
49,33,1,33,last_number,1,132,18.063,stage1_natural_stop
50,21,1,21,last_number,1,157,22.6987,stage1_natural_stop
51,175,1,175,s3_last_number,3,2308,318.852,stage3_after_budget_exhausted
52,60,1,60,last_number,1,229,32.3345,stage1_natural_stop
53,49,1,49,last_number,1,135,19.1956,stage1_natural_stop
54,1800,1,1800,s2_last_number,2,1223,172.1393,stage2_complete
55,27,1,27,last_number,1,160,22.8304,stage1_natural_stop
56,16,1,16,last_number,1,233,33.0119,stage1_natural_stop
57,49,1,49,s2_last_number,2,1417,199.8,stage2_complete
58,6,1,6,last_number,1,163,23.3186,stage1_natural_stop
59,32,1,32,last_number,1,240,33.6099,stage1_natural_stop
60,168,1,168,s2_last_number,2,1441,203.2159,stage2_complete
61,225,1,225,last_number,1,242,34.3451,stage1_natural_stop
62,50,1,50,last_number,1,235,32.9287,stage1_natural_stop
63,45,0,1,s3_last_number,3,2560,361.1281,stage3_after_budget_exhausted
64,7,1,7,last_number,1,144,20.504,stage1_natural_stop
65,800,1,800,s2_last_number,2,1738,243.1948,stage2_complete
66,22,1,22,last_number,1,196,27.7256,stage1_natural_stop
67,235,1,235,last_number,1,209,29.5386,stage1_natural_stop
68,3,1,3,s3_last_number,3,2534,356.8584,stage3_after_budget_exhausted
69,2,1,2,s2_last_number,2,1458,201.9442,stage2_complete
70,3000,0,12.5,s3_last_number,3,2560,360.7208,stage3_after_budget_exhausted
71,300,1,300,s2_last_number,2,1985,279.3831,stage2_complete
72,20,1,20,s2_last_number,2,1289,181.449,stage2_complete
73,130,1,130,last_number,1,148,21.3036,stage1_natural_stop
74,1,1,1,last_number,1,179,25.4428,stage1_natural_stop
75,8,1,8,s3_last_number,3,2512,351.9254,stage3_after_budget_exhausted
76,50,0,100,s3_last_number,3,2560,360.6198,stage3_after_budget_exhausted
77,3,1,3,s2_last_number,2,1541,215.5698,stage2_complete
78,5,1,5,last_number,1,207,29.374,stage1_natural_stop
79,110,1,110,last_number,1,163,23.4762,stage1_natural_stop
80,1300,1,1300,s2_last_number,2,1743,246.443,stage2_complete
81,16,1,16,last_number,1,155,22.3857,stage1_natural_stop
82,80,1,80,last_number,1,180,25.5002,stage1_natural_stop
83,45,0,3,s3_final_answer,3,2556,357.9457,stage3_after_budget_exhausted
84,36,1,36,last_number,1,179,25.388,stage1_natural_stop
85,5,1,5,s3_last_number,3,2560,361.4051,stage3_after_budget_exhausted
86,9,1,9,s2_last_number,2,1081,152.7139,stage2_complete
87,36,1,36,last_number,1,184,26.3013,stage1_natural_stop
88,60,1,60,last_number,1,169,24.3532,stage1_natural_stop
89,9,1,9,last_number,1,187,26.7504,stage1_natural_stop
90,1,1,1,last_number,1,230,32.9826,stage1_natural_stop
91,30,1,30,last_number,1,217,30.3421,stage1_natural_stop
92,70000,0,10,s3_last_number,3,2560,366.0796,stage3_after_budget_exhausted
93,34,1,34,last_number,1,235,33.3267,stage1_natural_stop
94,13,1,13,s2_last_number,2,996,141.2447,stage2_complete
95,306,1,306,last_number,1,196,27.7159,stage1_natural_stop
96,55,1,55,s2_last_number,2,1095,154.1855,stage2_complete
97,24,1,24,last_number,1,172,24.4031,stage1_natural_stop
98,75,1,75,last_number,1,154,21.9648,stage1_natural_stop
99,24,1,24,last_number,1,195,27.6435,stage1_natural_stop
100,50,1,50.00,s3_last_number,3,2560,361.3234,stage3_after_budget_exhausted
101,110,1,110,last_number,1,204,29.0452,stage1_natural_stop
102,452,0,5,s3_last_number,3,2560,362.0464,stage3_after_budget_exhausted
103,30,1,30,last_number,1,241,34.2458,stage1_natural_stop
104,80,1,80,last_number,1,180,25.6142,stage1_natural_stop
105,3,0,7.0,s3_last_number,3,2560,363.0011,stage3_after_budget_exhausted
106,120,1,120,last_number,1,116,16.6723,stage1_natural_stop
107,172,1,172,s2_last_number,2,1765,250.0323,stage2_complete
108,70,1,70,last_number,1,192,27.6073,stage1_natural_stop
109,13,1,13,last_number,1,232,33.0054,stage1_natural_stop
110,150,0,120,s3_last_number,3,2560,362.7858,stage3_after_budget_exhausted
111,18,0,10,last_number,1,229,32.6461,stage1_natural_stop
112,1,1,1,s3_last_number,3,2560,364.1737,stage3_after_budget_exhausted
113,250,1,250,last_number,1,227,32.447,stage1_natural_stop
114,3,1,3,last_number,1,155,22.2089,stage1_natural_stop
115,15,1,15,last_number,1,230,32.7037,stage1_natural_stop
116,12,1,12,last_number,1,157,22.4643,stage1_natural_stop
117,60,1,60,last_number,1,224,31.9765,stage1_natural_stop
118,3,1,3,s2_last_number,2,887,124.935,stage2_complete
119,9,0,2,s3_last_number,3,2560,363.2781,stage3_after_budget_exhausted
120,140000,1,140000,last_number,1,206,29.3054,stage1_natural_stop
121,3,0,6,last_number,1,159,22.8997,stage1_natural_stop
122,2400,1,2400,s3_last_number,3,2498,355.0358,stage3_after_budget_exhausted
123,4,1,4,last_number,1,106,15.308,stage1_natural_stop
124,79,0,7,s3_last_number,3,2560,361.5588,stage3_after_budget_exhausted
125,300,1,300,last_number,1,180,25.6385,stage1_natural_stop
126,91,1,91,s2_last_number,2,1807,255.0546,stage2_complete
127,8,1,8,last_number,1,128,18.2761,stage1_natural_stop
128,120,1,120,last_number,1,139,19.8542,stage1_natural_stop
129,350,1,350,last_number,1,182,26.0373,stage1_natural_stop
130,2600,1,2600,s2_last_number,2,1458,205.4285,stage2_complete
131,10,1,10,s2_last_number,2,1166,162.622,stage2_complete
132,26,0,18,s3_last_number,3,2560,361.877,stage3_after_budget_exhausted
133,7,1,7,last_number,1,236,33.6251,stage1_natural_stop
134,31,1,31,last_number,1,212,30.1877,stage1_natural_stop
135,975,1,975,s3_last_number,3,2560,363.0545,stage3_after_budget_exhausted
136,20,1,20,s3_last_number,3,2560,364.205,stage3_after_budget_exhausted
137,120,1,120,s2_last_number,2,1061,152.6754,stage2_complete
138,220,1,220,last_number,1,208,30.2975,stage1_natural_stop
139,87,1,87,last_number,1,197,28.8961,stage1_natural_stop
140,300,1,300,last_number,1,175,25.6233,stage1_natural_stop
141,30,1,30,s3_last_number,3,2307,337.049,stage3_after_budget_exhausted
142,17,0,4,s3_last_number,3,2560,371.4682,stage3_after_budget_exhausted
143,16,1,16,last_number,1,147,21.4343,stage1_natural_stop
144,7,1,7,s2_last_number,2,1618,233.6485,stage2_complete
145,81,0,9,s2_last_number,2,2304,332.785,stage2_complete
146,5,1,5,last_number,1,90,13.228,stage1_natural_stop
147,9,1,9,s2_last_number,2,958,138.4555,stage2_complete
148,10,1,10,last_number,1,203,29.4001,stage1_natural_stop
149,24,1,24,s2_last_number,2,1292,186.0858,stage2_complete
150,5,1,5,last_number,1,182,26.4484,stage1_natural_stop
151,50,1,50,last_number,1,155,16.0997,stage1_natural_stop
152,48,1,48,last_number,1,189,16.348,stage1_natural_stop
153,25,1,25,last_number,1,90,8.0422,stage1_natural_stop
154,96,1,96,s2_last_number,2,1054,91.3661,stage2_complete
155,25,1,25,last_number,1,210,18.2598,stage1_natural_stop
156,180,1,180,s2_last_number,2,1513,131.8341,stage2_complete
157,21,1,21,last_number,1,79,7.2176,stage1_natural_stop
158,1200,1,1200,last_number,1,172,15.1187,stage1_natural_stop
159,255,1,255,last_number,1,208,18.1889,stage1_natural_stop
160,4,1,4,last_number,1,225,19.6282,stage1_natural_stop
161,10,1,10,last_number,1,191,16.8888,stage1_natural_stop
162,700,1,700,last_number,1,182,16.1087,stage1_natural_stop
163,38,1,38,last_number,1,124,11.0667,stage1_natural_stop
164,32,1,32,last_number,1,158,14.0404,stage1_natural_stop
165,30,1,30,last_number,1,228,19.8855,stage1_natural_stop
166,16,1,16,last_number,1,137,12.0648,stage1_natural_stop
167,40,1,40,s3_last_number,3,2560,223.2369,stage3_after_budget_exhausted
168,288,1,288,last_number,1,172,15.0932,stage1_natural_stop
169,1100,1,1100,s2_last_number,2,1241,107.9376,stage2_complete
170,20,1,20,last_number,1,236,20.5568,stage1_natural_stop
171,2,1,2,last_number,1,186,16.27,stage1_natural_stop
172,2880000,0,2,s3_last_number,3,2560,222.0619,stage3_after_budget_exhausted
173,9,1,9,last_number,1,179,15.6681,stage1_natural_stop
174,132,1,132,last_number,1,191,16.5992,stage1_natural_stop
175,93,1,93,s2_last_number,2,1169,100.9703,stage2_complete
176,4,1,4,last_number,1,239,20.8044,stage1_natural_stop
177,85,1,85,last_number,1,195,16.8915,stage1_natural_stop
178,33,1,33,last_number,1,186,16.2205,stage1_natural_stop
179,12,1,12,s2_last_number,2,1153,100.7427,stage2_complete
180,7200,1,7200,last_number,1,205,18.1493,stage1_natural_stop
181,60,1,60,last_number,1,150,13.3038,stage1_natural_stop
182,44,0,2,s3_last_number,3,2557,224.4708,stage3_after_budget_exhausted
183,113,1,113.00,s3_last_number,3,2560,222.5616,stage3_after_budget_exhausted
184,"43,500",1,43500,s2_last_number,2,1209,104.2503,stage2_complete
185,720,1,720,last_number,1,110,9.9364,stage1_natural_stop
186,50,1,50,s2_last_number,2,977,85.9265,stage2_complete
187,24,1,24,last_number,1,155,13.727,stage1_natural_stop
188,43,1,43,last_number,1,186,16.4013,stage1_natural_stop
189,30,1,30,last_number,1,229,20.1557,stage1_natural_stop
190,23,0,9,s2_last_number,2,2304,200.9082,stage2_complete
191,251,0,25,s3_last_number,3,2560,223.5456,stage3_after_budget_exhausted
192,35,1,35,last_number,1,166,14.562,stage1_natural_stop
193,50,0,40,s3_last_number,3,2560,223.1854,stage3_after_budget_exhausted
194,82,1,82,last_number,1,139,12.3271,stage1_natural_stop
195,2100,1,2100,s2_last_number,2,2104,182.8048,stage2_complete
196,3,1,3,s2_last_number,2,2279,197.3191,stage2_complete
197,12,1,12,last_number,1,179,15.8634,stage1_natural_stop
198,11,1,11,last_number,1,224,19.649,stage1_natural_stop
199,12,1,12,s2_last_number,2,1126,98.7298,stage2_complete
