idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason,s2_tokens_used,s2_tokens_saved,s2_savings_ratio,s2_stop_reason
0,"\left( 3, \frac{\pi}{2} \right)",1,"(3, \frac{\pi}{2})",s2_boxed,2,3025,235.1087,stage2_complete,2092,442,0.1744,natural_stop
1,p - q,0,1/2,s3_fallback_last,3,4864,418.4524,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
2,\frac{14}{3},1,\frac{14}{3},s3_boxed,3,4864,408.9389,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
3,9,1,9,s2_boxed,2,3122,243.7284,stage2_complete,2058,552,0.2115,natural_stop
4,\text{Evelyn},0,,s3_boxed,3,4864,380.8396,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
5,42,1,42,boxed,1,388,30.4109,stage1_natural_stop,,,,
6,27,0,3,s3_fallback_last,3,4864,388.2174,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
7,90^\circ,0,,s3_boxed,3,4864,384.5123,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
8,3\sqrt{13},1,3\sqrt{13},s2_boxed,2,2206,173.3893,stage2_complete,1277,417,0.2462,natural_stop
9,4,1,4,s3_boxed,3,4864,383.7647,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
10,2220,1,2220,s3_boxed,3,4832,390.092,stage3_after_iris_entropy,4064,32,0.0078,iris_entropy
11,\frac{3}{56},0,7,s3_fallback_last,3,960,397.4612,stage3_after_iris_entropy,192,3904,0.9531,iris_entropy
12,284,0,1,s3_fallback_last,3,4864,402.7174,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
13,5,1,5,boxed,1,387,30.9488,stage1_natural_stop,,,,
14,\sqrt{51},1,\sqrt{51},s3_boxed,3,4864,441.5402,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
15,6 - 5i,0,2,s3_fallback_last,3,4864,428.4319,stage3_after_iris_entropy,4096,0,0.0,iris_entropy
16,-50,1,-50,s2_boxed,2,2890,236.3591,stage2_complete,2041,337,0.1417,natural_stop
17,\pi,0,0,s3_fallback_last,3,4864,399.1379,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
18,28,0,56.3,s3_fallback_last,3,4864,415.9262,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
19,3,1,3,s3_boxed,3,4864,404.125,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
20,6+9i,1,6+9i,boxed,1,229,19.0011,stage1_natural_stop,,,,
21,13535,1,13535,s3_boxed,3,4864,408.1265,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
22,5,1,5,s3_fallback_last,3,4864,406.5164,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
23,x=5,1,5,s2_boxed,2,3143,256.8382,stage2_complete,1976,655,0.249,natural_stop
24,10,1,10,s3_boxed,3,4864,397.0987,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
25,"1,-2",0,"-2, 1",s3_boxed,3,4864,396.9428,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
26,144,0,2,s3_fallback_last,3,2208,396.5135,stage3_after_iris_entropy,1440,2656,0.6484,iris_entropy
27,78,1,78,boxed,1,414,32.8199,stage1_natural_stop,,,,
28,-2 + 7i,1,-2 + 7i,s3_boxed,3,4864,394.9869,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
29,225,1,225,s2_boxed,2,4454,363.2093,stage2_complete,3322,620,0.1573,natural_stop
30,52_8,1,52_8,s3_boxed,3,4864,392.5902,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
31,11\sqrt2,1,11\sqrt{2},boxed,1,418,32.5416,stage1_natural_stop,,,,
32,720,0,6,s3_fallback_last,3,4864,388.799,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
33,\frac{243}{625},1,\frac{243}{625},s3_boxed,3,4864,390.7438,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
34,-125,1,-125,s3_boxed,3,4864,391.5656,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
35,3,1,3,s2_boxed,2,2092,167.6809,stage2_complete,1196,384,0.243,natural_stop
36,"3, 5, 7",1,"3, 5, 7",s3_boxed,3,4864,393.4015,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
37,72,1,72,boxed,1,385,30.5768,stage1_natural_stop,,,,
38,2000,1,2000,boxed,1,465,36.7157,stage1_natural_stop,,,,
39,23,1,23,s2_boxed,2,4073,332.1738,stage2_complete,2837,724,0.2033,natural_stop
40,12,1,12,boxed,1,360,28.7381,stage1_natural_stop,,,,
41,17,0,,s3_boxed,3,4864,396.9288,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
42,4,1,4,boxed,1,335,26.3538,stage1_natural_stop,,,,
43,70 \sqrt{2},0,100,s3_boxed,3,4864,394.5212,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
44,1.25,0,2,s3_fallback_last,3,4864,405.4605,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
45,2,1,2,s2_boxed,2,2691,220.728,stage2_complete,1704,475,0.218,natural_stop
46,6,1,6,s3_boxed,3,4864,405.0668,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
47,5,0,0,s2_fallback_last,2,4608,383.9348,stage2_complete,3526,570,0.1392,natural_stop
48,\frac{3}{2},1,\frac{3}{2},boxed,1,325,26.3111,stage1_natural_stop,,,,
49,83,1,83,s2_boxed,2,2075,171.3183,stage2_complete,1132,455,0.2867,natural_stop
50,203,0,1,s3_fallback_last,3,4864,407.9595,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
51,x^5 - x^4 + x^3 - x^2 + x - 1,0,-2,s3_fallback_last,3,4864,412.7929,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
