idx,features,chosen_budget,oracle_budget,correct,tokens,utility
0,101,256,64,1,6.0,0.9991
1,101,256,64,0,7.0,-0.00105
2,101,256,64,0,6.0,-0.0009
3,101,256,64,1,6.0,0.9991
4,101,256,64,0,11.0,-0.0016499999999999998
5,101,256,64,0,8.0,-0.0012
6,101,256,64,0,8.0,-0.0012
7,101,256,64,0,7.0,-0.00105
0,010,256,128,1,256.0,0.9616
1,010,256,64,0,256.0,-0.0384
2,010,256,64,0,256.0,-0.0384
3,110,64,64,0,64.0,-0.0096
4,110,64,64,0,64.0,-0.0096
5,110,64,64,0,64.0,-0.0096
6,010,256,64,0,256.0,-0.0384
7,010,256,64,0,256.0,-0.0384
8,110,64,64,0,64.0,-0.0096
9,010,256,64,0,256.0,-0.0384
10,110,64,64,0,64.0,-0.0096
11,010,256,64,0,256.0,-0.0384
12,010,256,64,0,256.0,-0.0384
13,010,256,128,1,256.0,0.9616
14,010,256,64,0,256.0,-0.0384
15,110,64,64,0,64.0,-0.0096
16,010,256,64,0,256.0,-0.0384
17,010,256,64,0,256.0,-0.0384
18,010,256,64,0,256.0,-0.0384
19,010,256,64,0,256.0,-0.0384
0,000,256,128,0,288.0,-0.043199999999999995
1,000,256,64,0,288.0,-0.043199999999999995
2,000,256,64,0,288.0,-0.043199999999999995
3,000,256,128,1,288.0,0.9568
4,000,256,128,0,288.0,-0.043199999999999995
5,000,256,64,0,288.0,-0.043199999999999995
6,000,256,64,0,288.0,-0.043199999999999995
7,000,256,64,0,288.0,-0.043199999999999995
8,000,256,128,1,288.0,0.9568
9,000,256,256,1,288.0,0.9568
10,000,256,128,1,288.0,0.9568
11,000,256,64,0,288.0,-0.043199999999999995
12,000,256,64,0,288.0,-0.043199999999999995
13,000,256,256,1,288.0,0.9568
14,000,256,256,1,288.0,0.9568
15,000,256,256,1,288.0,0.9568
16,000,256,128,1,288.0,0.9568
17,000,256,128,0,288.0,-0.043199999999999995
18,000,256,256,1,263.0,0.96055
19,000,256,256,1,288.0,0.9568
20,000,256,128,1,288.0,0.9568
21,000,256,64,0,288.0,-0.043199999999999995
22,000,256,128,1,288.0,0.9568
23,000,256,64,0,288.0,-0.043199999999999995
24,000,256,128,1,288.0,0.9568
25,000,256,128,1,265.0,0.96025
26,000,256,128,0,288.0,-0.043199999999999995
27,000,256,128,1,288.0,0.9568
28,000,256,256,1,288.0,0.9568
29,000,256,128,1,288.0,0.9568
30,000,256,256,1,264.0,0.9604
31,000,256,128,1,288.0,0.9568
32,000,256,64,0,288.0,-0.043199999999999995
33,000,256,256,1,288.0,0.9568
