idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason,s2_tokens_used,s2_tokens_saved,s2_savings_ratio,s2_stop_reason
0,"\left( 3, \frac{\pi}{2} \right)",1,"(3, \frac{\pi}{2})",s2_boxed,2,3025,280.7653,stage2_complete,2092,442,0.1744,natural_stop
1,p - q,1,p-q,s3_boxed,3,6144,477.9563,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
2,\frac{14}{3},0,ANSWER,s3_boxed,3,5120,475.542,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
3,9,1,9,s2_boxed,2,3122,290.9364,stage2_complete,2058,552,0.2115,natural_stop
4,\text{Evelyn},0,ANSWER,s3_boxed,3,5120,477.1118,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
5,42,1,42,boxed,1,388,31.8973,stage1_natural_stop,,,,
6,27,1,27,s3_boxed,3,5727,475.3991,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
7,90^\circ,1,90^\circ,s3_boxed,3,5120,477.4544,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
8,3\sqrt{13},1,3\sqrt{13},s2_boxed,2,2206,204.51,stage2_complete,1277,417,0.2462,natural_stop
9,4,1,4,s3_boxed,3,4617,436.4398,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
10,2220,1,2220,s3_boxed,3,4591,436.6697,stage3_after_iris_entropy,4064,32,0.0078,iris_entropy
11,\frac{3}{56},0,1,s3_fallback_last,3,710,435.2538,stage3_after_iris_entropy,192,3904,0.9531,iris_entropy
12,284,1,284,s3_boxed,3,5120,476.3768,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
13,5,1,5,boxed,1,387,31.3947,stage1_natural_stop,,,,
14,\sqrt{51},1,\sqrt{51},s3_boxed,3,5120,473.9819,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
15,6 - 5i,1,6 - 5i,s3_boxed,3,5120,474.659,stage3_after_iris_entropy,4096,0,0.0,iris_entropy
16,-50,1,-50,s2_boxed,2,2890,269.1795,stage2_complete,2041,337,0.1417,natural_stop
17,\pi,1,\pi,s3_boxed,3,5120,475.8209,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
18,28,0,32,s3_boxed,3,4619,433.9482,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
19,3,1,3,s3_boxed,3,4617,436.0996,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
20,6+9i,1,6+9i,boxed,1,229,18.687,stage1_natural_stop,,,,
21,13535,1,13535,s3_boxed,3,4625,432.5188,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
22,5,1,5,s3_boxed,3,4617,434.0316,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
23,x=5,1,5,s2_boxed,2,3143,292.1433,stage2_complete,1976,655,0.249,natural_stop
24,10,1,10,s3_boxed,3,4619,434.5516,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
25,"1,-2",0,-,s3_boxed,3,5120,475.8011,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
26,144,1,144,s3_fallback_last,3,1962,433.6058,stage3_after_iris_entropy,1440,2656,0.6484,iris_entropy
27,78,1,78,boxed,1,414,33.37,stage1_natural_stop,,,,
28,-2 + 7i,0,,s3_boxed,3,5120,473.1078,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
29,225,1,225,s2_boxed,2,4454,420.596,stage2_complete,3322,620,0.1573,natural_stop
30,52_8,1,52_8,s3_boxed,3,5120,476.6384,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
31,11\sqrt2,1,11\sqrt{2},boxed,1,418,33.8736,stage1_natural_stop,,,,
32,720,1,720,s3_boxed,3,4930,458.8327,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
33,\frac{243}{625},0,,s3_boxed,3,5120,614.3292,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
34,-125,1,-125,s3_boxed,3,5120,705.1077,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
35,3,1,3,s2_boxed,2,2092,289.0596,stage2_complete,1196,384,0.243,natural_stop
36,"3, 5, 7",0,ANSWER,s3_boxed,3,5120,604.0656,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
37,72,1,72,boxed,1,385,31.9982,stage1_natural_stop,,,,
38,2000,1,2000,boxed,1,465,37.968,stage1_natural_stop,,,,
39,23,1,23,s2_boxed,2,4073,381.7857,stage2_complete,2837,724,0.2033,natural_stop
40,12,1,12,boxed,1,360,29.7629,stage1_natural_stop,,,,
41,17,1,17,s3_boxed,3,5120,475.3927,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
42,4,1,4,boxed,1,335,27.3878,stage1_natural_stop,,,,
43,70 \sqrt{2},0,100,s3_boxed,3,4621,433.7588,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
44,1.25,1,1.25,s3_boxed,3,5682,475.1963,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
45,2,1,2,s2_boxed,2,2691,251.0253,stage2_complete,1704,475,0.218,natural_stop
46,6,1,6,s3_boxed,3,4617,435.3683,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
47,5,0,0,s2_fallback_last,2,4608,434.3364,stage2_complete,3526,570,0.1392,natural_stop
48,\frac{3}{2},1,\frac{3}{2},boxed,1,325,27.0094,stage1_natural_stop,,,,
49,83,1,83,s2_boxed,2,2075,192.8085,stage2_complete,1132,455,0.2867,natural_stop
