idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason,s2_tokens_used,s2_tokens_saved,s2_savings_ratio,s2_stop_reason
0,"\left( 3, \frac{\pi}{2} \right)",1,"(3, \frac{\pi}{2})",s2_boxed,2,3025,248.5577,stage2_complete,2092,442,0.1744,natural_stop
1,p - q,1,p-q,s3_boxed,3,6144,419.8274,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
2,\frac{14}{3},0,ANSWER,s3_boxed,3,5120,420.6,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
3,9,1,9,s2_boxed,2,3122,255.5298,stage2_complete,2058,552,0.2115,natural_stop
4,\text{Evelyn},0,ANSWER,s3_boxed,3,5120,426.599,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
5,42,1,42,boxed,1,388,28.7407,stage1_natural_stop,,,,
6,27,1,27,s3_boxed,3,5727,420.2093,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
7,90^\circ,1,90^\circ,s3_boxed,3,5120,422.8839,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
8,3\sqrt{13},1,3\sqrt{13},s2_boxed,2,2206,182.6796,stage2_complete,1277,417,0.2462,natural_stop
9,4,1,4,s3_boxed,3,4617,391.0433,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
10,2220,1,2220,s3_boxed,3,4591,391.2769,stage3_after_iris_entropy,4064,32,0.0078,iris_entropy
11,\frac{3}{56},0,1,s3_fallback_last,3,710,392.583,stage3_after_iris_entropy,192,3904,0.9531,iris_entropy
12,284,1,284,s3_boxed,3,5120,422.4664,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
13,5,1,5,boxed,1,387,28.6182,stage1_natural_stop,,,,
14,\sqrt{51},1,\sqrt{51},s3_boxed,3,5120,428.3891,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
15,6 - 5i,1,6 - 5i,s3_boxed,3,5120,423.0446,stage3_after_iris_entropy,4096,0,0.0,iris_entropy
16,-50,1,-50,s2_boxed,2,2890,245.941,stage2_complete,2041,337,0.1417,natural_stop
17,\pi,1,\pi,s3_boxed,3,5120,425.2254,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
18,28,0,32,s3_boxed,3,4619,387.7548,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
19,3,1,3,s3_boxed,3,4617,384.4751,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
20,6+9i,1,6+9i,boxed,1,229,16.9772,stage1_natural_stop,,,,
21,13535,1,13535,s3_boxed,3,4625,383.8892,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
