idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason
0,52,1,52,last_number,1,99,2.685,stage1_natural_stop
1,5,1,5,last_number,1,76,1.8072,stage1_natural_stop
2,83,1,83,last_number,1,169,4.0082,stage1_natural_stop
3,10,1,10,last_number,1,110,2.6049,stage1_natural_stop
4,70,1,70,last_number,1,161,3.8035,stage1_natural_stop
5,36,1,36,last_number,1,107,2.5752,stage1_natural_stop
6,48,1,48,last_number,1,74,1.7563,stage1_natural_stop
7,16,1,16,last_number,1,122,2.8679,stage1_natural_stop
8,8,1,8,last_number,1,139,3.2889,stage1_natural_stop
9,48,1,48,last_number,1,74,1.7118,stage1_natural_stop
10,90,1,90,last_number,1,62,1.4607,stage1_natural_stop
11,10,1,10,last_number,1,51,1.2094,stage1_natural_stop
12,2,0,1,s3_last_number,3,771,20.9375,stage3_after_budget_exhausted
13,45000,1,45000,last_number,1,146,3.7293,stage1_natural_stop
14,18,1,18,last_number,1,78,1.859,stage1_natural_stop
15,140,1,140,last_number,1,72,1.7217,stage1_natural_stop
16,17,1,17,s2_last_number,2,696,18.6528,stage2_complete
17,68,1,68,last_number,1,128,3.4262,stage1_natural_stop
18,8,1,8,last_number,1,78,1.8614,stage1_natural_stop
19,14,1,14,last_number,1,70,1.6799,stage1_natural_stop
20,50,1,50,last_number,1,185,4.731,stage1_natural_stop
21,100,1,100,last_number,1,83,1.9861,stage1_natural_stop
22,125,1,125,last_number,1,162,3.8724,stage1_natural_stop
23,48,1,48,last_number,1,196,4.6999,stage1_natural_stop
24,15400,1,15400,last_number,1,144,3.4567,stage1_natural_stop
25,250,1,250,last_number,1,90,2.1655,stage1_natural_stop
26,18,1,18,s3_last_number,3,772,20.3362,stage3_after_budget_exhausted
27,1490,0,170,s3_last_number,3,762,20.8753,stage3_after_budget_exhausted
28,11,1,11,last_number,1,111,2.6598,stage1_natural_stop
29,106,0,106.12,last_number,1,189,4.6056,stage1_natural_stop
30,138,1,138,s3_last_number,3,766,20.8549,stage3_after_natural_stop
31,15,1,15,last_number,1,168,4.333,stage1_natural_stop
32,4,1,4,last_number,1,88,2.1023,stage1_natural_stop
33,82,1,82,last_number,1,155,3.7346,stage1_natural_stop
34,2,0,1,last_number,1,142,3.3914,stage1_natural_stop
35,51,1,51,last_number,1,167,4.0081,stage1_natural_stop
36,4,1,4,last_number,1,110,2.659,stage1_natural_stop
37,100,1,100,last_number,1,123,2.9231,stage1_natural_stop
38,25,1,25,boxed,1,182,4.3317,stage1_natural_stop
39,188,1,188,last_number,1,105,2.5116,stage1_natural_stop
40,30,1,30,last_number,1,85,2.0276,stage1_natural_stop
41,30,1,30,last_number,1,65,1.5478,stage1_natural_stop
42,150,0,240,last_number,1,71,1.7012,stage1_natural_stop
43,7,1,7,last_number,1,89,2.1365,stage1_natural_stop
44,350,1,350,s3_last_number,3,773,20.937,stage3_after_budget_exhausted
45,2,0,4.5,last_number,1,120,2.8837,stage1_natural_stop
46,36,1,36,last_number,1,77,1.8488,stage1_natural_stop
47,2,1,2,s3_last_number,3,771,20.4743,stage3_after_budget_exhausted
48,14,0,23,last_number,1,111,2.9374,stage1_natural_stop
49,33,1,33,last_number,1,81,1.9535,stage1_natural_stop
50,21,1,21,last_number,1,130,3.1075,stage1_natural_stop
51,175,1,175,last_number,1,225,5.4149,stage1_natural_stop
52,60,1,60,last_number,1,165,3.9785,stage1_natural_stop
53,49,1,49,last_number,1,79,1.9,stage1_natural_stop
54,1800,1,1800,last_number,1,127,3.0566,stage1_natural_stop
55,27,1,27,last_number,1,91,2.2034,stage1_natural_stop
56,16,1,16,last_number,1,209,5.0146,stage1_natural_stop
57,49,1,49,last_number,1,167,3.9846,stage1_natural_stop
58,6,1,6,last_number,1,117,2.7829,stage1_natural_stop
59,32,1,32,last_number,1,81,1.9311,stage1_natural_stop
60,168,1,168,s3_last_number,3,773,20.633,stage3_after_budget_exhausted
61,225,1,225,last_number,1,105,2.7487,stage1_natural_stop
62,50,1,50,last_number,1,97,2.3093,stage1_natural_stop
63,45,1,45,last_number,1,140,3.3392,stage1_natural_stop
64,7,1,7,last_number,1,86,2.061,stage1_natural_stop
65,800,1,800,last_number,1,163,3.9864,stage1_natural_stop
66,22,1,22,last_number,1,128,3.0726,stage1_natural_stop
67,235,1,235,last_number,1,131,3.1286,stage1_natural_stop
68,3,1,3,last_number,1,175,4.2028,stage1_natural_stop
69,2,1,2,last_number,1,194,4.6493,stage1_natural_stop
70,3000,1,3000,last_number,1,201,4.7953,stage1_natural_stop
71,300,1,300,last_number,1,118,2.8302,stage1_natural_stop
72,20,1,20,last_number,1,118,2.7939,stage1_natural_stop
73,130,1,130,last_number,1,101,2.3718,stage1_natural_stop
