idx,gold,correct,pred,pred_source,final_stage,tokens_total,elapsed_total,stop_reason,s2_tokens_used,s2_tokens_saved,s2_savings_ratio,s2_stop_reason
0,-\sqrt{3},0,$-\sqrt{3}$,s3_final_marker,3,5120,411.6906,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
1,"x \in [-2,7]",0,,s3_boxed,3,2815,224.2197,stage3_after_natural_stop,1791,2305,0.5627,natural_stop
2,2,0,ANSWER,s3_boxed,3,2729,219.3363,stage3_after_natural_stop,1705,2391,0.5837,natural_stop
3,30^\circ,0,30,s3_boxed,3,4619,375.0429,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
4,-\frac{\pi}{6},0,,s3_boxed,3,5120,419.4714,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
5,3,1,3,boxed,1,431,35.4283,stage1_natural_stop,,,,
6,41,1,41,s3_boxed,3,2158,176.5802,stage3_after_natural_stop,1635,2461,0.6008,natural_stop
7,16,1,16,s3_boxed,3,5120,417.9739,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
8,\cot x,1,\cot x,s3_boxed,3,5120,420.3829,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
9,3,1,3,s3_boxed,3,4617,376.9707,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
10,3,1,3,s3_boxed,3,4617,377.5051,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
11,9,0,ANSWER,s3_boxed,3,5120,422.3503,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
12,\frac{448}{15625},0,,s3_boxed,3,5120,419.1784,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
13,2,1,2,s3_boxed,3,4882,402.6821,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
14,2,1,2,s3_boxed,3,4617,379.1445,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
15,5,1,5,s3_boxed,3,2110,174.3019,stage3_after_natural_stop,1297,2799,0.6833,natural_stop
16,31,1,31,boxed,1,448,36.7719,stage1_natural_stop,,,,
17,-\frac{35}{9},1,-\frac{35}{9},s3_boxed,3,5120,420.9916,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
18,10,1,10,s3_boxed,3,4619,377.6785,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
19,540,1,540,s3_boxed,3,4621,380.3047,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
20,45,1,45,boxed,1,436,35.5207,stage1_natural_stop,,,,
21,-\frac{24}{25},1,-\frac{24}{25},s3_boxed,3,5120,420.4668,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
22,16,0,ANSWER,s3_boxed,3,5120,415.9057,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
23,\frac{\sqrt{21}}{5},1,\frac{\sqrt{21}}{5},s3_boxed,3,5120,419.6661,stage3_after_budget_exhausted,4096,0,0.0,budget_exhausted
