test_csv,idx,chosen_budget,best_budget,correct,tokens,utility
per_sample_Qwen3.5_27B_20260227_150649.csv,0,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,1,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,2,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_150649.csv,3,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,4,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,5,512,512,1,544.0,0.8725
per_sample_Qwen3.5_27B_20260227_150649.csv,6,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,7,256,512,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_150649.csv,8,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,9,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,10,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,11,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,12,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,13,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,14,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,15,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,16,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,17,128,128,1,134.0,0.96859375
per_sample_Qwen3.5_27B_20260227_150649.csv,18,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,19,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,20,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,21,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,22,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,23,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,24,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,25,128,128,1,136.0,0.968125
per_sample_Qwen3.5_27B_20260227_150649.csv,26,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,27,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,28,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,29,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,30,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,31,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,32,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,33,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,34,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,35,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_150649.csv,36,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,37,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_150649.csv,38,256,256,1,288.0,0.9325
per_sample_Qwen3.5_27B_20260227_150649.csv,39,512,512,1,520.0,0.878125
per_sample_Qwen3.5_27B_20260227_152431.csv,0,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,1,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_152431.csv,2,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,3,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,4,512,128,0,544.0,-0.1275
per_sample_Qwen3.5_27B_20260227_152431.csv,5,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,6,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,7,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,8,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_152431.csv,9,256,256,1,288.0,0.9325
per_sample_Qwen3.5_27B_20260227_152431.csv,10,256,256,1,288.0,0.9325
per_sample_Qwen3.5_27B_20260227_152431.csv,11,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,12,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,13,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,14,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,15,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,16,512,128,0,544.0,-0.1275
per_sample_Qwen3.5_27B_20260227_152431.csv,17,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,18,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,19,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_152431.csv,20,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,21,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,22,512,128,0,544.0,-0.1275
per_sample_Qwen3.5_27B_20260227_152431.csv,23,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,24,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,25,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,26,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,27,256,512,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_152431.csv,28,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,29,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,30,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,31,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,32,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,33,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_152431.csv,34,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_152431.csv,35,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,36,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_152431.csv,37,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_152431.csv,38,256,256,1,268.0,0.9371875000000001
per_sample_Qwen3.5_27B_20260227_152431.csv,39,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,0,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_154356.csv,1,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,2,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,3,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,4,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,5,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,6,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,7,256,128,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_154356.csv,8,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,9,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,10,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,11,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,12,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,13,256,256,1,288.0,0.9325
per_sample_Qwen3.5_27B_20260227_154356.csv,14,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,15,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,16,256,512,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_154356.csv,17,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,18,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,19,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,20,256,512,0,288.0,-0.0675
per_sample_Qwen3.5_27B_20260227_154356.csv,21,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,22,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,23,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,24,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,25,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,26,256,128,1,288.0,0.9325
per_sample_Qwen3.5_27B_20260227_154356.csv,27,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,28,128,128,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,29,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,30,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,31,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,32,128,128,1,160.0,0.9625
per_sample_Qwen3.5_27B_20260227_154356.csv,33,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,34,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,35,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,36,512,256,1,544.0,0.8725
per_sample_Qwen3.5_27B_20260227_154356.csv,37,128,256,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,38,128,512,0,160.0,-0.0375
per_sample_Qwen3.5_27B_20260227_154356.csv,39,128,256,0,160.0,-0.0375
