test_csv,idx,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,0,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,1,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,2,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,3,1024,256,0,885.0,-0.129638671875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,4,1024,1024,1,1024.0,0.85
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,5,512,256,0,389.0,-0.056982421874999994
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,6,1024,1024,1,644.0,0.9056640625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,7,512,1024,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,8,512,256,1,230.0,0.96630859375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,9,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,10,1024,1024,1,753.0,0.889697265625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,11,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,12,1024,256,0,1024.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,13,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,14,512,1024,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,15,1024,1024,1,1024.0,0.85
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,16,512,1024,1,299.0,0.956201171875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,17,1024,256,0,1024.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,18,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,19,512,1024,1,499.0,0.926904296875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,20,512,256,0,428.0,-0.0626953125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,21,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,22,512,256,0,309.0,-0.045263671875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,23,1024,1024,1,943.0,0.861865234375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,24,1024,256,0,407.0,-0.059619140625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,25,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,26,1024,256,0,1024.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,27,1024,256,0,709.0,-0.103857421875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,28,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,29,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,30,1024,256,0,1024.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,31,512,512,1,302.0,0.95576171875
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,32,1024,256,0,1024.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,33,512,1024,1,375.0,0.945068359375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,34,1024,1024,1,1024.0,0.85
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,35,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,36,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,37,1024,256,0,623.0,-0.091259765625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,38,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070503.csv,39,1024,1024,1,367.0,0.946240234375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,0,512,1024,1,367.0,0.946240234375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,1,1024,512,1,412.0,0.9396484375
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,2,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,3,1024,256,0,1024.0,-0.15
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,4,1024,256,0,432.0,-0.06328125
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,5,1024,256,0,764.0,-0.1119140625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,6,512,256,0,512.0,-0.075
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,7,1024,256,0,448.0,-0.065625
/workspace/nips-adathink/results/per_sample_bbh_Qwen3_8B_20260320_070637.csv,8,512,256,0,512.0,-0.075
