test_csv,idx,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,0,8192,4096,1,4435.0,0.918792724609375
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,1,8192,4096,1,1588.0,0.9709228515625
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,2,8192,8192,1,1353.0,0.975225830078125
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,3,8192,8192,1,1597.0,0.970758056640625
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,4,8192,4096,1,8192.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,5,8192,4096,1,8192.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,6,8192,2048,0,8192.0,-0.15
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,7,8192,8192,1,4662.0,0.91463623046875
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,8,8192,2048,0,6755.0,-0.123687744140625
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,9,8192,8192,1,7406.0,0.86439208984375
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,10,8192,2048,0,8192.0,-0.15
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,11,8192,2048,0,5638.0,-0.10323486328124999
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,12,8192,2048,1,1495.0,0.972625732421875
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,13,8192,2048,0,8192.0,-0.15
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,14,8192,4096,1,5539.0,0.898577880859375
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,15,8192,2048,0,8192.0,-0.15
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,16,8192,8192,1,7369.0,0.865069580078125
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,17,8192,2048,0,6058.0,-0.11092529296874999
/workspace/nips-adathink/results/per_sample_math500_Qwen3.5_27B_20260320_083038.csv,18,8192,2048,0,8192.0,-0.15
