test_csv,idx,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,0,256,128,0,269.0,-0.315234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,1,512,128,1,397.0,0.534765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,2,256,128,1,288.0,0.6625000000000001
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,3,256,128,0,267.0,-0.312890625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,4,512,128,1,371.0,0.565234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,5,256,128,1,271.0,0.682421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,6,512,128,1,516.0,0.39531250000000007
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,7,128,128,1,160.0,0.8125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,8,512,512,1,523.0,0.387109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,9,512,512,1,516.0,0.39531250000000007
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,10,512,256,1,354.0,0.58515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,11,512,256,1,414.0,0.51484375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,12,128,256,0,160.0,-0.1875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,13,512,256,1,360.0,0.578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,14,512,128,0,525.0,-0.615234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,15,128,128,1,141.0,0.834765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,16,512,256,1,517.0,0.394140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,17,256,512,0,288.0,-0.33749999999999997
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,18,512,256,0,531.0,-0.6222656249999999
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,19,512,512,1,523.0,0.387109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,20,512,512,1,525.0,0.384765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,21,512,128,1,486.0,0.43046875000000007
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,22,512,128,1,242.0,0.71640625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,23,256,256,1,275.0,0.677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,24,128,128,1,139.0,0.837109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,25,256,256,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,26,256,128,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,27,256,512,0,288.0,-0.33749999999999997
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,28,128,128,1,139.0,0.837109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,29,512,256,1,525.0,0.384765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,30,512,512,1,469.0,0.45039062500000004
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,31,256,128,1,260.0,0.6953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,32,512,512,1,512.0,0.4
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,33,512,128,1,517.0,0.394140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,34,128,256,0,141.0,-0.165234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,35,512,256,1,517.0,0.394140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,36,128,256,0,141.0,-0.165234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,37,256,256,1,271.0,0.682421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,38,256,512,0,269.0,-0.315234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,39,256,512,0,288.0,-0.33749999999999997
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,0,256,256,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,1,256,512,0,269.0,-0.315234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,2,256,512,0,288.0,-0.33749999999999997
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,3,512,128,0,525.0,-0.615234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,4,256,128,0,267.0,-0.312890625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,5,512,256,1,475.0,0.443359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,6,256,256,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,7,512,128,1,339.0,0.602734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,8,256,128,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,9,256,128,1,273.0,0.6800781250000001
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,10,256,128,1,273.0,0.6800781250000001
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,11,256,128,0,271.0,-0.317578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,12,256,128,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,13,256,128,0,271.0,-0.317578125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,14,256,128,0,288.0,-0.33749999999999997
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,15,512,256,0,544.0,-0.6375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,16,256,256,1,271.0,0.682421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,17,256,128,1,269.0,0.684765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,18,256,256,1,267.0,0.687109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,19,256,128,0,269.0,-0.315234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,20,512,128,1,425.0,0.501953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,21,256,256,1,286.0,0.66484375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,22,512,512,1,523.0,0.387109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,23,256,512,0,269.0,-0.315234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,24,512,128,1,454.0,0.46796875000000004
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,25,512,512,1,525.0,0.384765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,26,256,128,1,218.0,0.7445312500000001
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,27,512,512,1,531.0,0.37773437500000007
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,28,256,128,1,271.0,0.682421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,29,256,512,0,269.0,-0.315234375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,30,512,128,1,266.0,0.68828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,31,256,128,0,288.0,-0.33749999999999997
