idx,features,chosen_budget,oracle_budget,correct,tokens,utility
0,110,512,128,0,544.0,-0.0816
1,010,512,128,0,544.0,-0.0816
2,010,512,128,0,544.0,-0.0816
3,110,512,128,0,544.0,-0.0816
4,110,512,128,1,544.0,0.9184
5,110,512,512,1,544.0,0.9184
6,110,512,512,1,544.0,0.9184
7,110,512,512,1,544.0,0.9184
8,110,512,128,1,544.0,0.9184
9,010,512,256,1,544.0,0.9184
10,110,512,128,0,544.0,-0.0816
11,110,512,128,0,544.0,-0.0816
12,010,512,512,1,544.0,0.9184
13,110,512,256,0,544.0,-0.0816
14,110,512,256,0,544.0,-0.0816
15,110,512,256,0,544.0,-0.0816
16,110,512,128,0,544.0,-0.0816
17,010,512,128,0,544.0,-0.0816
18,010,512,256,1,544.0,0.9184
19,010,512,256,1,520.0,0.922
20,110,512,128,1,544.0,0.9184
21,110,512,128,0,544.0,-0.0816
22,110,512,128,1,544.0,0.9184
23,010,512,128,0,544.0,-0.0816
24,110,512,128,0,544.0,-0.0816
25,010,512,128,1,544.0,0.9184
26,110,512,128,0,544.0,-0.0816
27,110,512,128,0,544.0,-0.0816
28,110,512,256,0,544.0,-0.0816
29,110,512,128,0,544.0,-0.0816
30,110,512,256,0,544.0,-0.0816
31,110,512,128,0,544.0,-0.0816
32,110,512,512,1,544.0,0.9184
33,110,512,256,0,544.0,-0.0816
34,110,512,512,1,518.0,0.9223
35,110,512,128,1,544.0,0.9184
36,010,512,128,0,544.0,-0.0816
37,110,512,128,0,544.0,-0.0816
38,110,512,256,1,544.0,0.9184
39,110,512,512,1,520.0,0.922
0,110,256,256,1,288.0,0.9568
0,110,256,256,1,288.0,0.9568
1,010,256,512,0,288.0,-0.043199999999999995
2,010,256,512,0,288.0,-0.043199999999999995
3,110,256,128,1,288.0,0.9568
4,110,256,128,1,288.0,0.9568
5,010,256,512,0,288.0,-0.043199999999999995
6,010,256,128,0,288.0,-0.043199999999999995
7,110,256,512,0,288.0,-0.043199999999999995
8,110,256,128,0,288.0,-0.043199999999999995
9,110,256,128,1,288.0,0.9568
10,110,256,256,1,264.0,0.9604
11,110,256,128,0,288.0,-0.043199999999999995
12,010,256,512,0,263.0,-0.03945
13,010,256,512,0,288.0,-0.043199999999999995
14,110,256,128,0,288.0,-0.043199999999999995
15,110,256,128,0,288.0,-0.043199999999999995
16,110,256,512,0,288.0,-0.043199999999999995
17,110,256,512,0,288.0,-0.043199999999999995
18,110,256,128,1,288.0,0.9568
19,110,256,256,1,288.0,0.9568
20,110,256,128,1,288.0,0.9568
21,110,256,128,1,288.0,0.9568
22,110,256,128,0,288.0,-0.043199999999999995
23,110,256,128,0,288.0,-0.043199999999999995
24,010,256,256,1,288.0,0.9568
25,110,256,128,0,263.0,-0.03945
26,110,256,128,0,288.0,-0.043199999999999995
27,110,256,128,1,288.0,0.9568
28,110,256,512,0,288.0,-0.043199999999999995
29,110,256,512,0,288.0,-0.043199999999999995
30,010,256,128,0,288.0,-0.043199999999999995
31,110,256,128,1,288.0,0.9568
32,010,256,256,1,262.0,0.9607
33,010,256,512,0,288.0,-0.043199999999999995
34,010,256,256,1,263.0,0.96055
35,010,256,512,0,288.0,-0.043199999999999995
36,010,256,128,0,288.0,-0.043199999999999995
37,110,256,512,0,288.0,-0.043199999999999995
38,110,256,512,0,288.0,-0.043199999999999995
39,110,256,128,1,288.0,0.9568
0,010,512,128,0,544.0,-0.0816
1,010,512,128,0,544.0,-0.0816
2,010,512,512,1,544.0,0.9184
3,110,256,512,0,288.0,-0.043199999999999995
4,110,256,128,1,288.0,0.9568
5,110,256,512,0,288.0,-0.043199999999999995
6,110,256,512,0,288.0,-0.043199999999999995
7,010,512,128,0,544.0,-0.0816
8,110,256,256,1,288.0,0.9568
9,010,512,512,1,544.0,0.9184
10,010,512,256,0,544.0,-0.0816
11,110,256,128,0,288.0,-0.043199999999999995
12,110,256,128,0,288.0,-0.043199999999999995
13,010,512,128,0,544.0,-0.0816
14,110,256,128,0,288.0,-0.043199999999999995
15,110,256,128,0,288.0,-0.043199999999999995
16,110,256,128,0,288.0,-0.043199999999999995
17,110,256,128,0,288.0,-0.043199999999999995
18,010,512,128,0,544.0,-0.0816
19,110,256,128,0,288.0,-0.043199999999999995
20,110,256,512,0,288.0,-0.043199999999999995
21,110,256,128,1,288.0,0.9568
22,110,256,128,0,288.0,-0.043199999999999995
23,110,256,128,1,288.0,0.9568
24,010,512,128,0,544.0,-0.0816
25,010,512,128,0,544.0,-0.0816
26,110,256,128,0,288.0,-0.043199999999999995
27,110,256,128,0,288.0,-0.043199999999999995
28,110,256,128,0,288.0,-0.043199999999999995
29,010,512,256,1,517.0,0.92245
30,010,512,256,0,544.0,-0.0816
31,110,256,128,1,288.0,0.9568
32,110,256,128,1,288.0,0.9568
33,010,512,128,0,544.0,-0.0816
34,010,512,512,1,544.0,0.9184
35,110,256,512,0,288.0,-0.043199999999999995
36,110,256,128,0,288.0,-0.043199999999999995
37,110,256,128,1,288.0,0.9568
38,010,512,256,0,544.0,-0.0816
39,110,256,256,1,288.0,0.9568
0,010,512,128,0,544.0,-0.0816
1,110,256,128,0,288.0,-0.043199999999999995
2,010,512,256,1,521.0,0.9218500000000001
3,110,256,256,1,288.0,0.9568
4,110,256,128,0,288.0,-0.043199999999999995
5,110,256,128,0,288.0,-0.043199999999999995
6,110,256,512,0,288.0,-0.043199999999999995
7,110,256,256,1,288.0,0.9568
8,010,512,128,0,544.0,-0.0816
9,010,512,256,0,544.0,-0.0816
10,110,256,256,1,288.0,0.9568
11,110,256,512,0,288.0,-0.043199999999999995
12,110,256,128,1,288.0,0.9568
13,110,256,128,0,288.0,-0.043199999999999995
14,110,256,256,1,288.0,0.9568
15,110,256,128,1,288.0,0.9568
16,010,512,128,0,544.0,-0.0816
17,110,256,128,1,288.0,0.9568
18,110,256,128,1,288.0,0.9568
19,010,512,128,0,544.0,-0.0816
20,010,512,128,0,544.0,-0.0816
21,010,512,128,0,544.0,-0.0816
22,110,256,128,1,288.0,0.9568
23,110,256,512,0,288.0,-0.043199999999999995
24,110,256,128,0,288.0,-0.043199999999999995
25,110,256,128,1,288.0,0.9568
26,110,256,128,1,288.0,0.9568
27,110,256,512,0,288.0,-0.043199999999999995
28,110,256,128,0,288.0,-0.043199999999999995
29,110,256,512,0,288.0,-0.043199999999999995
30,110,256,256,1,288.0,0.9568
31,110,256,128,1,288.0,0.9568
32,110,256,256,1,288.0,0.9568
33,010,512,128,0,544.0,-0.0816
34,110,256,256,1,288.0,0.9568
35,110,256,128,0,288.0,-0.043199999999999995
36,010,512,128,1,519.0,0.92215
37,110,256,128,1,288.0,0.9568
38,010,512,256,1,544.0,0.9184
39,110,256,256,1,288.0,0.9568
