best_correct,best_latency_s,best_pred,best_stopped_early,best_tokens,fixed_128_correct,fixed_128_latency_s,fixed_128_pred,fixed_128_tokens,fixed_64_correct,fixed_64_latency_s,fixed_64_pred,fixed_64_tokens,gold,idx
0,3.7410446779977065,5,0,128,0,3.7527007249882445,5,128,0,1.8588049599784426,500,64,7500,0
0,3.716522406000877,300,0,128,0,3.7489137620141264,300,128,0,1.8526927219936624,150,64,675,1
0,3.8536976689938456,2,0,128,0,3.8529816009977367,2,128,0,1.913467506004963,6,64,12,2
0,3.7008695889962837,2,0,128,0,3.6053542500012554,2,128,0,1.8086242459830828,120,64,12,3
0,3.6766563569835853,75,0,128,0,3.6571489599882625,6,128,0,1.8425426030007657,6,64,105,4
0,3.83954057097435,132,0,128,0,3.8275628150149714,132,128,0,1.913409575005062,39,64,74,5
0,3.7307437760173343,1.00,0,128,0,3.7171550870116334,1.00,128,0,1.846989562996896,1.00,64,520,6
0,3.693887902016286,12,0,128,0,3.7270969450182747,12,128,1,1.8586524210113566,4,64,4,7
0,3.86415835499065,12,0,128,0,3.8624324109987356,12,128,0,1.9176291210169438,2250,64,2,8
0,3.713107019982999,3,0,128,0,3.671842137002386,30,128,0,1.8528298219898716,8,64,91,9
0,3.679656654014252,"45,",0,128,0,3.6783368900069036,"45,",128,0,1.8404875560081564,10,64,5,10
0,3.822636906988919,240,0,128,0,3.826750620995881,240,128,0,1.9046205159975216,3,64,220,11
