best_correct,best_latency_s,best_pred,best_stopped_early,best_tokens,fixed_128_correct,fixed_128_latency_s,fixed_128_pred,fixed_128_tokens,fixed_256_correct,fixed_256_latency_s,fixed_256_pred,fixed_256_tokens,fixed_64_correct,fixed_64_latency_s,fixed_64_pred,fixed_64_tokens,gold,idx
1,5.685263537045103,7500,0,220,0,3.2059742650017142,1,128,1,5.652609454002231,7500,220,0,1.6018832210102119,2,64,7500,0
0,0.24856658800854348,600,1,10,0,0.219140002009226,600,9,0,0.21937208401504904,600,9,0,0.21830471101566218,600,9,675,1
1,0.23465803303406574,12,1,9,1,0.20659510101540945,12,8,1,0.20606373299960978,12,8,1,0.20665124701918103,12,8,12,2
1,5.208344426995609,12,1,206,1,3.180675820010947,12,128,1,5.181034426001133,12,207,0,1.6786211199942045,2,64,12,3
0,0.23023468899191357,25,1,9,0,0.20167767800739966,25,8,0,0.20267277100356296,25,8,0,0.20146996201947331,25,8,105,4
0,0.22226570500060916,62,1,9,0,0.1949941269995179,62,8,0,0.19523426098749042,62,8,0,0.19451256497995928,62,8,74,5
0,0.2866436090262141,52.00,1,11,0,0.25747623800998554,52.00,10,0,0.2569143919972703,52.00,10,0,0.2568521880020853,52.00,10,520,6
1,0.20374654003535397,4,1,8,1,0.17587574900244363,4,7,1,0.1755195269943215,4,7,1,0.17587946497951634,4,7,4,7
0,0.2107474940130487,5,1,8,0,0.1798351980105508,5,7,0,0.18266358101391234,5,7,0,0.1801071219961159,5,7,2,8
0,0.22182444200734608,60,1,9,0,0.19549670998821966,60,8,0,0.19560875097522512,60,8,0,0.1955779140116647,60,8,91,9
1,3.411201937997248,5,1,134,1,3.2339849839918315,5,128,1,3.380286049999995,5,134,0,1.6268849000043701,45,64,5,10
1,0.2519096619798802,220,1,10,1,0.22481898800469935,220,9,1,0.22376137800165452,220,9,1,0.2245045400050003,220,9,220,11
1,0.20401136597502045,3,1,8,1,0.17698783599189483,3,7,1,0.17703529799473472,3,7,1,0.1769370989932213,3,7,3,12
0,0.24635426799068227,224,1,10,0,0.21910690699587576,224,9,0,0.21955361700383946,224,9,0,0.22021936002420262,224,9,160,13
1,0.23041389900026843,10,1,9,1,0.20676059697871096,10,8,1,0.2056057299778331,10,8,1,0.20710385899292305,10,8,10,14
1,2.6373709550243802,40,1,106,1,2.5989346709975507,40,105,1,2.606104018021142,40,105,0,1.5854335420008283,8,64,40,15
1,6.226625498034991,350,0,241,0,3.236372005980229,15,128,1,6.182505876990035,350,241,0,1.6262716600031126,15,64,350,16
0,0.24578921697684564,130,1,10,0,0.21926750100101344,130,9,0,0.21919373801210895,130,9,0,0.2193097349954769,130,9,100,17
0,0.3052532459842041,42000,1,12,0,0.2785820350109134,42000,11,0,0.2779096309968736,42000,11,0,0.2778422590054106,42000,11,57500,18
0,0.2755379010050092,2400,1,11,0,0.2503693039761856,2400,10,0,0.24824463200639002,2400,10,0,0.24855946100433357,2400,10,2600,19
0,0.23550500100827776,36,1,9,0,0.20350977301131934,36,8,0,0.20594959301524796,36,8,0,0.20534827900701202,36,8,16,20
0,0.20359658898087218,6,1,8,0,0.17522213398478925,6,7,0,0.17553676199167967,6,7,0,0.1747526800027117,6,7,20,21
1,6.621156390989199,50,0,256,0,3.2418384309858084,24,128,1,6.563596588996006,50,256,0,1.6113105510012247,"24,",64,50,22
0,0.2771813990257215,6.25,1,11,0,0.24941617200965993,6.25,10,0,0.24929136098944582,6.25,10,0,0.2503114650025964,6.25,10,4,23
1,5.0068671359622385,175,0,199,0,3.3606967060186435,3,128,1,4.553389007021906,175,177,0,1.6399936999951024,8,64,175,24
0,0.20532625002670102,6,1,8,0,0.1754333539865911,6,7,0,0.17517888598376885,6,7,0,0.17620910500409082,6,7,12,25
1,0.26968846601084806,300,1,10,1,0.23552541999379173,300,9,1,0.23639097600243986,300,9,1,0.2365321610122919,300,9,300,26
1,0.20219921000534669,7,1,8,1,0.174769702978665,7,7,1,0.17585422299453057,7,7,1,0.1739746529783588,7,7,7,27
0,0.30626013700384647,12.80,1,12,0,0.27595008301432244,12.80,11,0,0.2775071109936107,12.80,11,0,0.2754896539845504,12.80,11,7,28
1,0.2476494940056,120,1,10,1,0.22001253100461327,120,9,1,0.21991345900460146,120,9,1,0.21969694099971093,120,9,120,29
1,0.22994080299395137,90,1,9,1,0.20195818800129928,90,8,1,0.20249389298260212,90,8,1,0.203677762998268,90,8,90,30
0,0.23022151799523272,63,1,9,0,0.20056305101024918,63,8,0,0.20060269100940786,63,8,0,0.20010485398233868,63,8,68,31
0,0.23382469397620298,10,1,9,0,0.2047919039905537,10,8,0,0.20529073299258016,10,8,0,0.20512405899353325,10,8,5,32
0,6.214047949993983,2,0,256,0,3.1066578720055986,8,128,1,6.223585964995436,25,256,0,1.552584534016205,8,64,25,33
1,5.728212940011872,120000,0,222,0,3.2362756750080734,3,128,1,5.662305020989152,120000,221,0,1.6169883199909236,3,64,120000,34
0,0.24906725698383525,132,1,10,0,0.2231088179978542,132,9,0,0.2440848179976456,132,9,0,0.24458480899920687,132,9,240,35
1,0.23270863699144684,50,1,9,1,0.20445089400163852,50,8,1,0.20427138099330477,50,8,1,0.2042865949915722,50,8,50,36
1,0.22146875198814087,10,1,9,1,0.19455731700873002,10,8,1,0.19461992097785696,10,8,1,0.1953699630103074,10,8,10,37
1,0.2620619889930822,150,1,10,1,0.2325919349968899,150,9,1,0.23243563598953187,150,9,1,0.23206209900672548,150,9,150,38
1,0.20256957100355066,6,1,8,1,0.17617637000512332,6,7,1,0.1748034119955264,6,7,1,0.1753655470092781,6,7,6,39
1,4.6442785750259645,54,0,181,0,3.2196373059996404,85,128,1,4.568131634005113,54,181,0,1.6087277390179224,2,64,54,40
0,0.22087086201645434,25,1,9,0,0.1951567479991354,25,8,0,0.19523503599339165,25,8,0,0.19490761900669895,25,8,26,41
1,0.23702950202277862,15,1,9,1,0.2081850400136318,15,8,1,0.208464383991668,15,8,1,0.2078505110112019,15,8,15,42
0,0.27829144199495204,2000,1,11,0,0.2490861040132586,2000,10,0,0.24980758101446554,2000,10,0,0.2642166310106404,2000,10,"2,125",43
1,0.23707504000049084,34,1,9,1,0.20751074198051356,34,8,1,0.2072299550054595,34,8,1,0.20709866599645466,34,8,34,44
0,0.22117055801209062,55,1,9,0,0.1943861140171066,55,8,0,0.19436189701082185,55,8,0,0.19481789198471233,55,8,40,45
0,0.23490516998572275,24,1,9,0,0.20697838297928683,24,8,0,0.20812320400727913,24,8,0,0.20678643102291971,24,8,160,46
1,0.22723701401264407,70,1,9,1,0.20063092999043874,70,8,1,0.2020286969782319,70,8,1,0.20030867899185978,70,8,70,47
1,0.23086245797458105,16,1,9,1,0.20458118501119316,16,8,1,0.2035037270106841,16,8,1,0.20337198799825273,16,8,16,48
1,0.22072834402206354,36,1,9,1,0.19430363801075146,36,8,1,0.1948146859940607,36,8,1,0.19471837999299169,36,8,36,49
0,0.26142537701525725,135,1,10,0,0.23300083397771232,135,9,0,0.23246768297394738,135,9,0,0.23232391398050822,135,9,81,50
0,0.2261277050129138,40,1,9,0,0.19925799997872673,40,8,0,0.1998933359864168,40,8,0,0.1988892899826169,40,8,60,51
0,0.204763351008296,5,1,8,0,0.1779292579740286,5,7,0,0.17687455299892463,5,7,0,0.176933693990577,5,7,15,52
0,0.22081127899582498,15,1,9,0,0.19473853902309202,15,8,0,0.19417427000007592,15,8,0,0.1954679189948365,15,8,20,53
0,0.233903905027546,10,1,9,0,0.20616420300211757,10,8,0,0.20598357799462974,10,8,0,0.20600157498847693,10,8,6,54
1,0.22851114100194536,80,1,9,1,0.20084806802333333,80,8,1,0.20005592200323008,80,8,1,0.20160055300220847,80,8,80,55
0,0.23179619599250145,10,1,9,0,0.2031766079890076,10,8,0,0.20291493000695482,10,8,0,0.20230255901697092,10,8,6,56
0,0.22099760099081323,95,1,9,0,0.1947067099972628,95,8,0,0.19475985001190566,95,8,0,0.19407632100046612,95,8,85,57
1,4.165509345970349,28,0,161,0,3.299869322014274,16,128,1,4.163564684975427,28,161,0,1.6438755770213902,"85,",64,28,58
0,0.2510451580164954,336,1,10,0,0.2244987550075166,336,9,0,0.2236547610082198,336,9,0,0.22377392399357632,336,9,560,59
0,0.23667686901171692,72,1,9,0,0.20617700097500347,72,8,0,0.20673343699309044,72,8,0,0.20735445199534297,72,8,88,60
0,0.2218630780116655,32,1,9,0,0.19523765600752085,32,8,0,0.1953201020078268,32,8,0,0.19517360799363814,32,8,36,61
0,0.23798988197813742,17,1,9,0,0.20898296500672586,17,8,0,0.20798703000764363,17,8,0,0.20926904000225477,17,8,25,62
0,0.20233940397156402,2,1,8,0,0.17542716499883682,2,7,0,0.17826782597694546,2,7,0,0.17684496199944988,2,7,5,63
1,0.2305042799853254,8.0,1,9,1,0.20285209198482335,8.0,8,1,0.2028754680068232,8.0,8,1,0.2036553340149112,8.0,8,8,64
1,0.20218245798605494,4,1,8,1,0.17078591999597847,4,7,1,0.1715586660138797,4,7,1,0.170536201010691,4,7,4,65
0,0.26084289999562316,216,1,10,0,0.23223368800245225,216,9,0,0.2330322409979999,216,9,0,0.23112013400532305,216,9,168,66
