gold,greedy_correct,greedy_latency_s,greedy_pred,greedy_tokens,idx,sc_correct,sc_latency_s,sc_pred,sc_tokens
7500,0,4.239666798996041,5,128,0,0,7.803639175952412,500,256
675,0,4.232339480018709,300,128,1,0,7.759817161975661,150,256
12,0,4.227898101991741,2,128,2,0,7.985326313006226,6,256
12,0,4.11995322999428,2,128,3,0,7.563853347994154,4,256
105,0,4.268690479977522,6,128,4,0,7.647857838019263,6,256
74,0,4.387758341006702,132,128,5,0,7.8176302619685885,20,256
520,0,3.7306785980181303,1.00,128,6,0,7.637505171005614,1.00,256
4,0,3.763996825000504,12,128,7,1,7.752597512997454,4,256
2,0,3.712807261006674,12,128,8,0,7.861844075989211,2250,256
91,0,3.661022710002726,30,128,9,0,7.511274377000518,8,256
5,0,3.6624104189977515,"45,",128,10,0,7.49953026798903,10,256
220,0,3.605894558975706,240,128,11,0,7.440392378979595,80,256
