test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,0,first1,there,512,128,0,525.0,-0.15380859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,1,first1,mason,512,128,1,397.0,0.88369140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,2,first1,ron,512,128,1,517.0,0.84853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,3,first1,nick,128,128,0,139.0,-0.040722656249999996
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,4,first1,jenny,512,128,1,371.0,0.89130859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,5,first1,john,512,128,1,359.0,0.89482421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,6,first1,some,512,128,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,7,first1,cynthia,512,128,1,359.0,0.89482421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,8,first1,tanya,512,512,1,523.0,0.84677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,9,first1,a,512,512,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,10,first1,the,512,256,1,354.0,0.8962890625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,11,first1,an,128,256,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,12,first1,lori,512,256,1,403.0,0.88193359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,13,first1,ted,512,256,1,360.0,0.89453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,14,first1,wayne,512,128,0,525.0,-0.15380859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,15,first1,a,512,128,1,365.0,0.89306640625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,16,first1,charlotte,512,256,1,517.0,0.84853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,17,first1,andy,512,512,1,527.0,0.84560546875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,18,first1,if,512,256,0,531.0,-0.15556640624999998
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,19,first1,vincent,512,512,1,523.0,0.84677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,20,first1,a,512,512,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,21,first1,melissa,512,128,1,486.0,0.8576171875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,22,first1,jenna,512,128,1,242.0,0.9291015625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,23,first1,the,512,256,0,544.0,-0.159375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,24,first1,a,512,128,1,375.0,0.89013671875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,25,first1,susan,512,256,0,523.0,-0.15322265625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,26,first1,a,512,128,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,27,first1,frankie,512,512,1,512.0,0.85
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,28,first1,jamal,128,128,1,139.0,0.95927734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,29,first1,samwell,512,256,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,30,first1,a,512,512,1,469.0,0.86259765625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,31,first1,dean,512,128,1,349.0,0.89775390625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,32,first1,mark,128,512,0,141.0,-0.04130859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,33,first1,the,512,128,1,517.0,0.84853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,34,first1,jane,512,256,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,35,first1,the,512,256,1,517.0,0.84853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,36,first1,on,512,256,1,415.0,0.87841796875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,37,first1,billy,512,256,1,527.0,0.84560546875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,38,first1,a,512,512,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,39,first1,carlos,128,512,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,0,first1,sam,512,256,1,447.0,0.86904296875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,1,first1,elvis,512,512,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,2,first1,john,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,3,first1,carlos,512,128,0,525.0,-0.15380859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,4,first1,imma,512,128,0,523.0,-0.15322265625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,5,first1,tatiana,512,256,1,475.0,0.86083984375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,6,first1,there,128,256,0,141.0,-0.04130859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,7,first1,dan,512,128,1,339.0,0.90068359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,8,first1,in,512,128,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,9,first1,julie,512,128,1,403.0,0.88193359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,10,first1,janet,512,128,1,518.0,0.8482421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,11,first1,shiela,512,128,0,527.0,-0.15439453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,12,first1,hunter,512,128,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,13,first1,a,512,128,1,515.0,0.84912109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,14,first1,a,512,128,0,529.0,-0.15498046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,15,first1,the,256,256,1,271.0,0.92060546875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,16,first1,jason,512,256,1,500.0,0.853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,17,first1,john,256,128,1,269.0,0.92119140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,18,first1,a,512,256,1,523.0,0.84677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,19,first1,a,512,128,0,525.0,-0.15380859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,20,first1,mark,512,128,1,425.0,0.87548828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,21,first1,in,512,256,1,529.0,0.84501953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,22,first1,jay,512,512,1,523.0,0.84677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,23,first1,jame,512,512,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,24,first1,a,512,128,1,454.0,0.8669921875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,25,first1,rory,512,512,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,26,first1,ali,512,128,1,218.0,0.9361328125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,27,first1,a,512,512,1,531.0,0.84443359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,28,first1,an,256,128,1,271.0,0.92060546875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,29,first1,there,128,512,0,141.0,-0.04130859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,30,first1,parker,512,128,1,266.0,0.9220703125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,31,first1,in,512,128,0,544.0,-0.159375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,32,first1,christina,512,128,0,523.0,-0.15322265625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,33,first1,carl,512,128,1,527.0,0.84560546875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,34,first1,seth,512,128,1,494.0,0.8552734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,35,first1,the,256,512,0,271.0,-0.07939453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_165122.csv,36,first1,rose,512,512,1,544.0,0.840625
