test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,0,first1,darrell,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,1,first1,lorraine,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,2,first1,indras,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,3,first1,bethany,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,4,first1,an,64,32,0,64.0,-0.01875
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,5,first1,kim,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,6,first1,gunther,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,7,first1,jonathan,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,8,first1,martha,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,9,first1,an,64,32,0,64.0,-0.01875
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,10,first1,as,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,11,first1,kira,64,64,1,64.0,0.98125
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,12,first1,i,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,13,first1,jill,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,14,first1,mark,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,15,first1,after,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,16,first1,a,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,17,first1,an,64,64,1,64.0,0.98125
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,18,first1,tyrion,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_073332.csv,19,first1,max,32,32,0,32.0,-0.009375
/workspace/nips-adathink/results/per_sample_Qwen3_8B_20260227_081851.csv,0,first1,darrell,32,32,0,32.0,-0.009375
