test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,0,first2,a|farmer,128,128,1,160.0,0.9625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,1,first2,carly|had,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,2,first2,in|tate,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,3,first2,joseph|had,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,4,first2,jill|gets,128,128,1,160.0,0.9625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,5,first2,solomon|bought,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,6,first2,ford|owns,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,7,first2,adam|has,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,8,first2,cynthia|eats,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,9,first2,rob|royce,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,10,first2,it|rained,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,11,first2,a|pet,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,12,first2,gabriel|and,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,13,first2,rozanne|is,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,14,first2,paul|needs,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,15,first2,a|juggler,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,16,first2,out|of,128,128,1,160.0,0.9625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,17,first2,there|are,128,128,1,134.0,0.96859375
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,18,first2,grandma|jones,256,256,1,263.0,0.938359375
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,19,first2,mariah|s,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,20,first2,a|builder,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,21,first2,jake|s,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,22,first2,martha|has,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,23,first2,valerie|earns,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,24,first2,henry|and,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,25,first2,it|s,256,128,1,265.0,0.937890625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,26,first2,for|each,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,27,first2,to|make,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,28,first2,a|classroom,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,29,first2,jillian|s,128,128,1,160.0,0.9625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,30,first2,the|number,256,256,1,264.0,0.938125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,31,first2,each|pole,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,32,first2,juan|asked,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,33,first2,kelly|has,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,34,first2,dora|s,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,35,first2,ted|starts,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,36,first2,katherine|has,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,37,first2,mike|decides,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,38,first2,a|news,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,39,first2,faraday|owns,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,0,first2,a|wooden,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,1,first2,it|takes,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,2,first2,gissela|gordy,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,3,first2,colby|loves,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,4,first2,it|takes,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,5,first2,vince|can,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,6,first2,britany|records,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,7,first2,sally|has,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,8,first2,melanie|is,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,9,first2,courtney|attended,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,10,first2,tony|is,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,11,first2,zaid|spends,256,512,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,12,first2,will|buys,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,13,first2,gary|does,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,14,first2,a|company,256,256,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,15,first2,there|are,128,128,1,160.0,0.9625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,16,first2,adrien|s,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,17,first2,on|tuesday,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,18,first2,a|raspberry,256,128,1,288.0,0.9325
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,19,first2,the|red,256,128,0,288.0,-0.0675
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,20,first2,out|of,128,128,0,160.0,-0.0375
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,21,first2,in|one,128,128,0,160.0,-0.0375
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_152431.csv,22,first2,mia|and,256,128,1,288.0,0.9325
