test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,0,first3,let|s|be,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,1,first3,simplify|frac|1,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,2,first3,the|set|of,1024,2048,0,1088.0,-0.0796875
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,3,first3,the|sum|of,2048,2048,1,2048.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,4,first3,at|what|value,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,5,first3,how|many|of,512,2048,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,6,first3,if|f|n,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,7,first3,the|projection|of,2048,1024,1,2048.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,8,first3,how|many|positive,512,1024,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,9,first3,find|all|values,2048,1024,1,2048.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,10,first3,let|mathbf|a,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,11,first3,find|the|remainder,512,2048,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,12,first3,determine|the|modulo,2048,1024,1,2048.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,13,first3,for|what|value,2048,2048,1,2048.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,14,first3,what|is|the,2048,512,0,2112.0,-0.1546875
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,15,first3,in|the|diagram,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,16,first3,in|the|diagram,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,17,first3,two|candidates|dan,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,18,first3,the|equation|x,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,19,first3,a|regular|hexagon,2048,2048,1,2048.0,0.85
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,20,first3,given|f|x,2048,1024,1,2112.0,0.8453125
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,21,first3,what|is|the,2048,512,0,2112.0,-0.1546875
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,22,first3,compute|997|1,512,512,0,576.0,-0.042187499999999996
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,23,first3,what|is|the,2048,512,0,2112.0,-0.1546875
