idx,correct,tokens,source,nothink_correct,nothink_tokens,nothink_early_stop,thinking_correct,thinking_tokens
0,True,99,nothink@256,True,99,True,True,484
1,True,77,nothink@256,True,77,True,True,266
2,True,169,nothink@256,True,169,True,True,335
3,True,110,nothink@256,True,110,True,True,544
4,True,161,nothink@256,True,161,True,False,544
5,True,113,nothink@256,True,113,True,True,413
6,True,74,nothink@256,True,74,True,True,526
7,True,122,nothink@256,True,122,True,True,352
8,True,131,nothink@256,True,131,True,True,415
9,True,74,nothink@256,True,74,True,False,544
10,True,62,nothink@256,True,62,True,False,239
11,True,51,nothink@256,True,51,True,True,218
12,False,544,thinking@512,False,256,False,False,544
13,True,146,nothink@256,True,146,True,True,354
14,True,78,nothink@256,True,78,True,False,544
15,True,72,nothink@256,True,72,True,True,406
16,True,425,thinking@512,False,256,False,True,425
17,True,128,nothink@256,True,128,True,False,544
18,True,78,nothink@256,True,78,True,True,544
19,True,70,nothink@256,True,70,True,True,541
20,True,205,nothink@256,True,205,True,False,530
21,True,81,nothink@256,True,81,True,True,392
22,True,162,nothink@256,True,162,True,True,519
23,True,196,nothink@256,True,196,True,True,512
24,True,142,nothink@256,True,142,True,True,535
25,True,85,nothink@256,True,85,True,False,544
26,False,544,thinking@512,False,256,False,False,544
27,False,544,thinking@512,True,245,False,False,544
28,True,120,nothink@256,True,120,True,True,378
29,False,189,nothink@256,False,189,True,False,544
30,True,509,thinking@512,False,256,False,True,509
31,True,168,nothink@256,True,168,True,False,544
32,True,88,nothink@256,True,88,True,False,532
33,True,155,nothink@256,True,155,True,True,353
34,False,142,nothink@256,False,142,True,True,519
35,True,168,nothink@256,True,168,True,False,544
36,True,110,nothink@256,True,110,True,False,544
37,True,122,nothink@256,True,122,True,True,416
38,True,182,nothink@256,True,182,True,True,520
39,True,105,nothink@256,True,105,True,False,544
40,True,85,nothink@256,True,85,True,True,398
41,True,65,nothink@256,True,65,True,False,544
42,False,71,nothink@256,False,71,True,True,504
43,True,89,nothink@256,True,89,True,True,336
44,False,544,thinking@512,True,256,False,False,544
45,False,120,nothink@256,False,120,True,True,399
46,True,76,nothink@256,True,76,True,True,530
