test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_1024,p_correct_2048,p_correct_4096
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,0,4096,2048,1,2337.0,0.91441650390625,0.1405405918473688,0.48199426287228797,0.6162988690068663
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,1,2048,1024,1,1139.0,0.95828857421875,0.6827603870695083,0.9047411605016439,0.8993126220608076
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,2,2048,2048,1,1000.0,0.96337890625,0.20726450718159717,0.7467427001124982,0.8513771204344562
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,3,4096,2048,1,2858.0,0.8953369140625,0.09052136904132797,0.5995957598013084,0.8486337384795659
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,4,1024,1024,0,1024.0,-0.0375,0.01261563154075075,0.044837686748352264,0.21396521144564298
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,5,1024,1024,0,1024.0,-0.0375,0.005883237759281306,0.012370301805615668,0.027080223301531578
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,6,4096,4096,1,3241.0,0.88131103515625,0.005210508762908778,0.10093956908397321,0.6616170160231435
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,7,2048,1024,1,905.0,0.96685791015625,0.6976145985945466,0.9177177901890259,0.9604562002120682
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,8,4096,4096,1,4096.0,0.85,0.20149635751082567,0.7793614819848927,0.9486508944940178
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,9,2048,1024,1,890.0,0.9674072265625,0.8177816258745373,0.9581550384586501,0.9924934943027297
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,10,1024,1024,0,1024.0,-0.0375,0.030217319233488,0.05237840564818295,0.10044365683479639
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,11,1024,1024,0,897.0,-0.032849121093749996,0.06701540648893826,0.1706735538896606,0.14014812864570525
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,12,4096,4096,1,1307.0,0.95213623046875,0.2904854858951261,0.8312539469960969,0.9452256360811406
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,13,2048,2048,1,1604.0,0.941259765625,0.1700891220613384,0.9014699703844231,0.9214310640638204
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,14,1024,1024,0,1024.0,-0.0375,0.008566278848339604,0.031714254606014076,0.03642396405433153
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,15,4096,4096,1,3294.0,0.8793701171875,0.07511854030958189,0.7437081286967865,0.9932251171418051
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,16,2048,2048,1,1527.0,0.94407958984375,0.22097031204557904,0.9606758109557342,0.9785949110724816
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,17,1024,1024,0,1024.0,-0.0375,0.027705568359279707,0.03768165566657359,0.05044312169204402
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,18,2048,2048,1,830.0,0.9696044921875,0.670501702053718,0.9170947323462818,0.8994064271134666
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,19,4096,2048,1,1965.0,0.92803955078125,0.02403156064146925,0.5012289311918231,0.7676742273908619
