test_csv,idx,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,0,512,128,0,525.0,-0.15380859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,1,512,128,1,397.0,0.88369140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,2,512,128,1,517.0,0.84853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,3,512,128,0,523.0,-0.15322265625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,4,512,128,1,371.0,0.89130859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,5,512,128,1,359.0,0.89482421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,6,512,128,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,7,512,128,1,359.0,0.89482421875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,8,512,512,1,523.0,0.84677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,9,512,512,1,516.0,0.848828125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,10,512,256,1,354.0,0.8962890625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,11,512,256,1,414.0,0.8787109375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,12,512,256,1,403.0,0.88193359375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,13,512,256,1,360.0,0.89453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,14,512,128,0,525.0,-0.15380859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,15,512,128,1,365.0,0.89306640625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,16,512,256,1,517.0,0.84853515625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,17,512,512,1,527.0,0.84560546875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,18,512,256,0,531.0,-0.15556640624999998
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,19,512,512,1,523.0,0.84677734375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,20,512,512,1,525.0,0.84619140625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,21,512,128,1,486.0,0.8576171875
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,22,512,128,1,242.0,0.9291015625
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,23,512,256,0,544.0,-0.159375
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,24,512,128,1,375.0,0.89013671875
