best_correct,best_latency_s,best_pred,best_stopped_early,best_tokens,fixed_128_correct,fixed_128_latency_s,fixed_128_pred,fixed_128_tokens,fixed_256_correct,fixed_256_latency_s,fixed_256_pred,fixed_256_tokens,fixed_64_correct,fixed_64_latency_s,fixed_64_pred,fixed_64_tokens,gold,idx
1,5.696993923018454,7500,0,220,0,3.1788465789868496,1,128,1,5.471703622984933,7500,220,0,1.612184817000525,2,64,7500,0
0,0.2509422200091649,600,1,10,0,0.2265010270057246,600,9,0,0.22471905397833325,600,9,0,0.2442443970066961,600,9,675,1
1,0.22494687998550944,12,1,9,1,0.19895943900337443,12,8,1,0.19840120599837974,12,8,1,0.19788840200635605,12,8,12,2
1,4.985225668991916,12,1,206,1,3.0894653819850646,12,128,1,5.008157684002072,12,207,0,1.5412807679967955,2,64,12,3
0,0.23391944097238593,25,1,9,0,0.20678140301606618,25,8,0,0.20489339900086634,25,8,0,0.20588849001796916,25,8,105,4
0,0.22698165700421669,62,1,9,0,0.19960367499152198,62,8,0,0.19846039899857715,62,8,0,0.19812943402212113,62,8,74,5
0,0.2737116709758993,52.00,1,11,0,0.24895425100112334,52.00,10,0,0.24666775699006394,52.00,10,0,0.24741275800624862,52.00,10,520,6
1,0.19699863402638584,4,1,8,1,0.1706950080115348,4,7,1,0.17050941300112754,4,7,1,0.1708562049898319,4,7,4,7
0,0.21189013301045634,5,1,8,0,0.1824718730058521,5,7,0,0.18151048498111777,5,7,0,0.18188725199433975,5,7,2,8
0,0.22631160900346003,60,1,9,0,0.20054804600658827,60,8,0,0.19787124401773326,60,8,0,0.19741288799559698,60,8,91,9
1,3.469050255982438,5,1,134,1,3.401792985998327,5,128,1,3.454282272985438,5,134,0,1.652412280003773,45,64,5,10
1,0.24504924402572215,220,1,10,1,0.2180198119895067,220,9,1,0.21809488299186341,220,9,1,0.23417276100371964,220,9,220,11
