gold,greedy_correct,greedy_latency_s,greedy_pred,greedy_tokens,idx,sc_correct,sc_latency_s,sc_pred,sc_tokens
7500,0,16.117902402067557,2,256,0,0,32.10621425812133,2,512
675,0,15.303154417080805,2,256,1,0,32.1037047279533,1,512
12,0,15.27190945087932,2,256,2,0,31.96372038614936,2,512
12,0,15.296060600085184,4,256,3,0,32.44184232712723,3,512
105,0,15.365503181004897,2,256,4,0,31.9857205406297,1,512
74,0,15.290656415978447,132,256,5,0,31.984085791977122,93,512
520,0,15.321825016057119,2,256,6,0,32.03245101054199,2,512
4,0,15.278439784888178,2,256,7,0,31.977564492961392,2,512
2,1,15.33792305411771,2,256,8,0,32.157317348755896,1,512
91,0,15.32378932600841,2,256,9,0,32.05816715396941,2,512
5,0,15.290516507113352,"2,",256,10,0,32.02449938817881,45,512
220,0,15.292560336878523,2,256,11,0,32.01804824103601,2,512
3,0,15.291821015998721,2,256,12,0,32.02988714212552,2,512
160,0,15.308303404133767,2,256,13,0,32.02299668616615,2,512
10,0,15.26205682195723,2,256,14,0,32.01361172623001,2,512
40,0,15.294024880044162,1,256,15,0,32.000987714855,2/3,512
350,0,15.312378271017224,2,256,16,0,32.116713570198044,1,512
100,0,15.277403191896155,2,256,17,0,31.932846650946885,2,512
57500,0,15.287427170900628,2,256,18,0,31.98591388296336,2,512
2600,0,15.295287108048797,2,256,19,0,32.02015348547138,2,512
16,0,15.294872356811538,2,256,20,0,32.010010230820626,1,512
20,0,15.32406587107107,2,256,21,0,32.1180489291437,2,512
50,0,15.28961390000768,"24,",256,22,0,31.970196796115488,24,512
4,0,15.291907536098734,2,256,23,0,32.011471166973934,2,512
175,0,15.29060064186342,45,256,24,0,31.98358047264628,20,512
12,0,15.283837100956589,2,256,25,0,32.10989362816326,1,512
300,0,15.314573666080832,2,256,26,0,32.12468950776383,2,512
7,0,15.290815074928105,2,256,27,0,32.01343258051202,4,512
7,0,15.287255303002894,2.00,256,28,0,31.97572964709252,3.20,512
120,0,15.25651367008686,15,256,29,0,31.920705928234383,2,512
90,0,15.257678803987801,2,256,30,0,31.92448778473772,2,512
68,0,15.292849279940128,25,256,31,0,31.962323564570397,2,512
5,0,15.328381550963968,2,256,32,0,32.182773291831836,2,512
25,0,15.29592184885405,2,256,33,0,31.985620870953426,5,512
120000,0,15.297912033973262,2,256,34,0,32.012361221946776,2,512
240,0,15.287988967029378,2,256,35,0,32.00505009503104,3,512
50,0,15.313790351850912,2,256,36,0,32.12189738196321,2,512
10,0,15.281328407116234,2,256,37,0,32.00040595489554,5,512
150,0,15.30819356883876,50,256,38,0,32.03431651345454,2,512
6,0,15.255551113048568,2,256,39,0,31.98057362390682,2,512
54,0,15.289364392170683,10,256,40,0,31.975896207848564,251,512
26,0,15.300091624027118,2,256,41,0,31.999313269741833,2,512
15,0,15.295577373821288,2,256,42,0,32.00697947968729,2,512
"2,125",0,15.318888234905899,2,256,43,0,32.12118539819494,2,512
34,0,15.332517367089167,7,256,44,0,32.17720569903031,2,512
40,0,15.285527812084183,2,256,45,0,32.02346839290112,2,512
160,0,15.32195352204144,2,256,46,0,31.992033736081794,1,512
70,0,15.293738286010921,2,256,47,0,32.040656859986484,1,512
16,0,15.31145568494685,2,256,48,0,32.06707808095962,2,512
36,0,15.302791631082073,2,256,49,0,32.04855698556639,1,512
81,0,15.295739935943857,30,256,50,0,32.01064484985545,8,512
60,0,15.304698457941413,2,256,51,0,32.02078445232473,2,512
15,0,15.326697758864611,2,256,52,0,32.09949022391811,2,512
20,0,15.284521308960393,3,256,53,0,32.01100140623748,5,512
6,0,15.295668093021959,2,256,54,0,31.947664584731683,2,512
80,0,15.305980253964663,4,256,55,0,31.982155518606305,20,512
6,0,15.319411627948284,2,256,56,0,32.072176604298875,400,512
85,0,15.296400108840317,2,256,57,0,32.012199917575344,2,512
28,0,15.307929155882448,1,256,58,0,32.05761179095134,85,512
560,0,15.28846101090312,2,256,59,0,32.03421475086361,70,512
88,0,15.330667571164668,2.74,256,60,0,32.22969555482268,2,512
36,0,15.32347943703644,5,256,61,0,32.058429427910596,8,512
25,0,15.304173890966922,5,256,62,0,32.16607640567236,2,512
