test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,0,first2,a|farmer,64,64,0,7.0,-0.0041015625
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,1,first2,carly|had,256,64,0,8.0,-0.0046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,2,first2,in|tate,64,64,0,7.0,-0.0041015625
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,3,first2,joseph|had,256,256,1,164.0,0.90390625
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,4,first2,jill|gets,64,64,0,11.0,-0.0064453125
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,5,first2,solomon|bought,256,64,0,9.0,-0.0052734374999999995
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,6,first2,ford|owns,256,64,0,9.0,-0.0052734374999999995
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,7,first2,adam|has,256,64,0,8.0,-0.0046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,8,first2,cynthia|eats,256,64,1,8.0,0.9953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,9,first2,rob|royce,256,128,1,140.0,0.91796875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,10,first2,it|rained,64,64,1,7.0,0.9958984375
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,11,first2,a|pet,256,64,0,8.0,-0.0046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,12,first2,gabriel|and,256,64,0,8.0,-0.0046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,13,first2,rozanne|is,256,64,0,8.0,-0.0046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,14,first2,paul|needs,256,64,1,8.0,0.9953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,15,first2,a|juggler,256,64,1,7.0,0.9958984375
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,16,first2,out|of,128,64,1,9.0,0.9947265625
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,17,first2,there|are,64,64,1,8.0,0.9953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,18,first2,grandma|jones,256,64,1,8.0,0.9953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,19,first2,mariah|s,256,64,0,10.0,-0.005859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,20,first2,a|builder,256,64,0,10.0,-0.005859375
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,21,first2,jake|s,256,64,0,8.0,-0.0046875
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,22,first2,martha|has,256,64,1,8.0,0.9953125
methods/01_adathink/results/per_sample_Qwen3_8B_20260227_135614.csv,23,first2,valerie|earns,256,128,1,92.0,0.94609375
