test_csv,idx,mode,key,chosen_budget,best_budget,correct,tokens,utility
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,0,first4,a|farmer|is|buying,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,1,first4,carly|had|80|cards,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,2,first4,in|tate|s|garden,128,128,0,160.0,-0.046875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,3,first4,joseph|had|3|times,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,4,first4,jill|gets|paid|20,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,5,first4,solomon|bought|20|marbles,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,6,first4,ford|owns|a|garden,512,512,1,544.0,0.840625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,7,first4,adam|has|100|and,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,8,first4,cynthia|eats|one|serving,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,9,first4,rob|royce|and|pedro,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,10,first4,it|rained|2|inches,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,11,first4,a|pet|store|currently,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,12,first4,gabriel|and|luri|each,256,512,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,13,first4,rozanne|is|making|eggnog,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,14,first4,paul|needs|63|cupcakes,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,15,first4,a|juggler|can|juggle,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,16,first4,out|of|the|150,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,17,first4,there|are|40|pupils,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,18,first4,grandma|jones|baked|5,256,256,1,263.0,0.92294921875
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,19,first4,mariah|s|grandma|was,256,256,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,20,first4,a|builder|works|for,256,128,1,288.0,0.915625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,21,first4,jake|s|family|wants,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,22,first4,martha|has|been|collecting,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,23,first4,valerie|earns|5000|per,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,24,first4,henry|and|3|of,128,128,1,160.0,0.953125
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,25,first4,it|s|april|and,128,128,1,136.0,0.96015625
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,26,first4,for|each|small|task,256,128,0,288.0,-0.08437499999999999
methods/01_adathink/results/per_sample_Qwen3.5_27B_20260227_150649.csv,27,first4,to|make|1|liter,256,128,1,288.0,0.915625
