test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_1024,p_correct_2048,p_correct_4096
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,0,2048,2048,1,2048.0,0.925,0.24537008053171117,0.49221308628012744,0.581037328846585
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,1,2048,1024,1,1139.0,0.95828857421875,0.6212478113574473,0.8103714801972104,0.8014574637268429
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,2,4096,2048,1,1002.0,0.9633056640625,0.24310430747759115,0.6526575896067985,0.7920386434602388
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,3,4096,2048,1,2858.0,0.8953369140625,0.17722282809455187,0.578408970882928,0.7464562562440136
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,4,4096,1024,0,1827.0,-0.06690673828125,0.059520790182877086,0.15229466752531598,0.355493839255439
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,5,1024,1024,0,1024.0,-0.0375,0.03149717710993332,0.05862188242696189,0.10705347477144976
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,6,4096,4096,1,3241.0,0.88131103515625,0.03452633829446764,0.19388161476770188,0.6013797327443758
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,7,2048,1024,1,905.0,0.96685791015625,0.5549316554498582,0.8183926398481317,0.919288821458324
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,8,4096,4096,1,4096.0,0.85,0.2976402365103476,0.7636554156562659,0.9194412362564999
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,9,2048,1024,1,890.0,0.9674072265625,0.7165127923223689,0.9201945028897028,0.973988785052729
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,10,1024,1024,0,1024.0,-0.0375,0.09442363723473113,0.17679025566483964,0.2783629741418425
/workspace/nips-adathink/results/per_sample_bbh_Qwen3.5_27B_20260320_110108.csv,11,1024,1024,0,897.0,-0.032849121093749996,0.12727010827097288,0.2201188688175974,0.19396521552717813
