test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_512,p_correct_1024,p_correct_2048
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,0,512,512,0,576.0,-0.042187499999999996,0.0012294090883263194,0.0325021374285067,0.184142747066618
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,1,2048,512,0,2014.0,-0.14750976562499998,0.0008150485375941565,0.07662978215199805,0.5886463654789409
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,2,2048,2048,1,1977.0,0.8552001953125,0.0008788169073478366,0.056668056294134767,0.5675244088561548
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,3,2048,2048,1,2048.0,0.85,0.0007522028207953927,0.05122754453022503,0.6816918601803009
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,4,512,512,0,576.0,-0.042187499999999996,0.0007251063157153847,0.03520353119799309,0.3678067561076138
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,5,512,2048,0,576.0,-0.042187499999999996,0.0010555649468103742,0.0551314291800837,0.3581995948571055
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,6,512,512,0,576.0,-0.042187499999999996,0.0012587119265823397,0.027707786334863663,0.29956055701639156
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,7,2048,1024,1,2048.0,0.85,0.000847823620990135,0.054765281898023405,0.6197731355586622
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,8,512,1024,0,576.0,-0.042187499999999996,0.0008686888490380019,0.044759318683998864,0.35205759890207694
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,9,2048,1024,1,2048.0,0.85,0.0007770228563022114,0.09886246126875603,0.6660887915529831
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,10,512,512,0,576.0,-0.042187499999999996,0.0011124392829001118,0.031031066469626025,0.19238918759811055
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,11,2048,2048,1,2112.0,0.8453125,0.0009007140560666398,0.08968912523963245,0.5990455144461653
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,12,2048,1024,1,2048.0,0.85,0.0008744348386810099,0.06969627102013855,0.6000714828269281
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,13,2048,2048,1,2048.0,0.85,0.0008113727889584836,0.031122845575463503,0.7083970949506065
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,14,512,512,0,576.0,-0.042187499999999996,0.0009144383208164974,0.06558525043377325,0.3299877118321235
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,15,512,512,0,576.0,-0.042187499999999996,0.0010651027897979285,0.0219533267853206,0.05537719097709942
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,16,512,512,0,576.0,-0.042187499999999996,0.0017864594142753517,0.03932661356554281,0.04473422307572388
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,17,512,512,0,576.0,-0.042187499999999996,0.0011472584411257596,0.0587304700526269,0.2942474783699108
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,18,512,512,0,576.0,-0.042187499999999996,0.0011198350678762322,0.034629323677239886,0.08463688841943273
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,19,512,2048,0,576.0,-0.042187499999999996,0.0009577610513387827,0.03751328068198913,0.3971853096294166
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,20,512,1024,0,576.0,-0.042187499999999996,0.000717837880549858,0.02914994537636071,0.21078152177385054
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,21,512,512,1,576.0,0.9578125,0.0019373050928196299,0.02670861787995246,0.04394371127536241
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,22,512,512,0,576.0,-0.042187499999999996,0.0009351154693277281,0.032109802944806046,0.2265127024452448
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,23,512,512,0,576.0,-0.042187499999999996,0.0009036732166123351,0.08159540831600127,0.4356275315686954
/workspace/nips-adathink/results/per_sample_math500_Qwen3_8B_20260320_051511.csv,24,512,512,1,576.0,0.9578125,0.0008379456751680728,0.0346585372827486,0.3805911585561927
