test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_128,p_correct_256,p_correct_512
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,0,256,128,0,269.0,-0.07880859375,0.384011417680731,0.6463885055230469,0.7999054383475811
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,1,128,128,1,141.0,0.95869140625,0.3863311493498308,0.5456157593174937,0.7826847700619186
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,2,256,128,1,288.0,0.915625,0.3839543356161904,0.6590722494871385,0.8152089639173348
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,3,256,128,0,267.0,-0.07822265625,0.43315047417079794,0.6622654235307166,0.8172074454175177
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,4,128,128,1,160.0,0.953125,0.5590303153626018,0.724373810222978,0.8530076304303995
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,5,128,128,1,160.0,0.953125,0.537180392751572,0.7099477637449775,0.8475131999610435
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,6,512,128,1,516.0,0.848828125,0.2556212806985272,0.468020588570287,0.8078845692849702
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,7,128,128,1,160.0,0.953125,0.49217024525198344,0.6013572814798167,0.8323065722925389
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,8,256,512,0,267.0,-0.07822265625,0.410226306563272,0.6167024634329621,0.8183205529383064
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,9,256,512,0,269.0,-0.07880859375,0.3536051804664316,0.6193508149964752,0.8346568722241252
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,10,256,256,1,267.0,0.92177734375,0.3992993609381871,0.6207664029965093,0.8280962187408529
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,11,256,256,1,273.0,0.92001953125,0.4055061257997045,0.6035783730194269,0.8251043244336306
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,12,256,256,1,267.0,0.92177734375,0.49706321699763645,0.698552948650117,0.8626947869528347
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,13,256,256,1,271.0,0.92060546875,0.26366671690451704,0.5347183395056493,0.7705001338565692
