test_csv,idx,chosen_budget,best_budget,correct,tokens,utility,p_correct_128,p_correct_256,p_correct_512
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,0,256,128,0,269.0,-0.07880859375,0.1804425793971535,0.6337268390421152,0.7194480819203228
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,1,512,128,1,397.0,0.88369140625,0.344299749457865,0.6396548052111074,0.9062380513517252
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,2,256,128,1,288.0,0.915625,0.4209106231551378,0.8623098558436999,0.9370369392569383
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,3,256,128,0,267.0,-0.07822265625,0.22268869361264357,0.5838385807180081,0.8334416180110873
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,4,128,128,1,160.0,0.953125,0.8392564749318341,0.9338410819786171,0.9755033377144524
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,5,128,128,1,160.0,0.953125,0.8007583010218264,0.9360015256225389,0.9559127572334789
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,6,512,128,1,516.0,0.848828125,0.14764443835342222,0.18490805957696757,0.9018729081441927
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,7,128,128,1,160.0,0.953125,0.7442602548054323,0.865322461955406,0.9449016214137786
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,8,128,512,0,139.0,-0.040722656249999996,0.5566831215267452,0.6795075503466097,0.8928214153438592
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,9,512,512,1,516.0,0.848828125,0.24888453758414616,0.5202159909589298,0.8368006779637536
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,10,256,256,1,267.0,0.92177734375,0.4592898657917508,0.8090284810228822,0.8946087467101878
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,11,256,256,1,273.0,0.92001953125,0.3265722876627772,0.6935340257098684,0.935606871632639
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,12,256,256,1,267.0,0.92177734375,0.23389063214901767,0.9030273272576097,0.9579603816836136
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,13,256,256,1,271.0,0.92060546875,0.16685471895631113,0.6838665780994713,0.8268017381207049
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,14,128,128,0,141.0,-0.04130859375,0.27869842001554873,0.37974125139057396,0.6825807561475639
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,15,128,128,1,141.0,0.95869140625,0.9588198208289098,0.9658791364775985,0.9817968538219767
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,16,512,256,1,517.0,0.84853515625,0.1250239414638503,0.23827453260713327,0.8381794621788159
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,17,512,512,1,527.0,0.84560546875,0.0534571904805099,0.24928830440438832,0.55636466151445
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,18,256,256,1,275.0,0.91943359375,0.17013910130734597,0.34707555843068616,0.5322453669986961
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,19,256,512,0,269.0,-0.07880859375,0.6689694359693347,0.8727160768854879,0.9923630063610102
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,20,128,512,0,139.0,-0.040722656249999996,0.27026134391104945,0.35900417599049617,0.6886904302434349
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,21,256,128,1,267.0,0.92177734375,0.17692042871285849,0.5898628756317845,0.8396948852108678
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,22,128,128,1,141.0,0.95869140625,0.8351932888587013,0.8173015272242724,0.9811551910871493
methods/01_adathink/results/per_sample_Qwen3_8B_20260228_164451.csv,23,256,256,1,275.0,0.91943359375,0.15401483528079934,0.3948848546072051,0.2641926113922458
